ENGLISH,GERMAN
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Cavalry\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Sunstone, 1 Horse\\PARBattle Actions: 2 Slashing attacks at 1 range, or 1 Slashing attack and 1 heal if an ally is below %50 HP\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Schwere Kavallerie\\PARBewegung: Schnell\\PARErforderliche Ressourcen: 2 Eisen, 1 Sonnenstein, 1 Pferd\\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1 oder 1 Schlitzangriff und 1 Heilung, falls LP eines Verbündeten unter 50 % liegen.\\PARBesonderes: Wenn sich der Trupp in der Offensive die maximal mögliche Distanz bewegt hat, ist der erste Angriff dieser Einheit ein „Sturmangriff“ und kann das Ziel betäuben. Resistenz gegen Magie und Drachenatem in Höhe von 25 % des eigenen Rüstungswerts."
Class: Ranger,Klasse: Waldläufer
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: -\\PARBattle Actions: 1 Crossbow attack at 1 range followed by 1 Slashing attack at 1 range\\PARSpecial: Crossbow attack bypasses enemy Cover and Block from formations. Increased evasion in woods, townscape, hills, and swamp","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Leichte Infanterie\\PARBewegung: Leicht\\PARErforderliche Ressourcen: -\\PARKampfaktionen: 1 Armbrustangriff aus Entfernung 1 gefolgt von 1 Schlitzangriff aus Entfernung 1.\\PARBesonderes: Der Armbrustangriff umgeht Deckung und Blocken durch die gegnerische Formation. Ausweichen in Wäldern, Städten, Hügeln und Sümpfen erhöht."
Class: Assassin,Klasse: Assassine
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 2 Obsidian\\PARBattle Actions: On Offense, 1 Stealth Attack at 1 range, followed by 1 Slashing attack at 1 range. On Defense, 2 Slashing attacks at 1 range\\PARSpecial: When on Offense, first attack can hit the back row of the target Squad with increased damage",Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Leichte Infanterie\\PARBewegung: Leicht\\PARErforderliche Ressourcen: 2 Obsidian\\PARKampfaktionen: In der Offensive 1 Schleichangriff aus Entfernung 1 gefolgt von 1 Schlitzangriff aus Entfernung 1. In der Defensive 2 Schlitzangriffe aus Entfernung 1.\\PARBesonderes: In der Offensive kann der erste Angriff die hintere Reihe des Zieltrupps treffen und erhöhten Schaden verursachen.
Class: Swordmaster,Klasse: Schwertmeisterin
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: 1 Iron, 2 Obsidian\\PARBattle Actions: 2 Slashing double-attacks at 1 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Leichte Infanterie\\PARBewegung: Leicht\\PARErforderliche Ressourcen: 1 Eisen, 2 Obsidian\\PARKampfaktionen: 2 Schlitzangriffe aus Entfernung 1\\PARBesonderes: Ausweichen in Wäldern, Städten, Hügeln und Sümpfen erhöht."
Class: Hussar,Klasse: Husar
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Cavalry\\PARMovement Type: Light, Fast\\PARResources Required: 2 Iron, 1 Horse\\PARBattle Actions: 2 Polearm attacks at 1 range\\PARSpecial: On offense, if Squad moved maximum possible range, this unit's 1st attack is a 'Charge Attack' which can Stun the target, +35% Damage dealt to Cavalry units. Increased evasion in woods, townscape, hills, and swamp.  +50% Evasion on offense.","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Leichte Kavallerie\\PARBewegung: Leicht, Schnell\\PARErforderliche Ressourcen: 2 Eisen, 1 Pferd\\PARKampfaktionen: 2 Stangenwaffenangriffe aus Entfernung 1\\PARBesonderes: Wenn sich der Trupp in der Offensive die maximal mögliche Distanz bewegt hat, ist der erste Angriff ein „Sturmangriff“ und kann das Ziel betäuben. +35 % verursachter Schaden gegen Kavallerie. Ausweichen in Wäldern, Städten, Hügeln und Sümpfen erhöht. +50 % Ausweichen in der Offensive."
Class: Warbow,Klasse: Bogenkrieger
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 2 Obsidian\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 or 3 range\\PARSpecial: -",Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Bogenschützen\\PARBewegung: Normal\\PARErforderliche Ressourcen: 2 Obsidian\\PARKampfaktionen: 2 Bogenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2 oder 3\\PARBesonderes: -
Class: Raider,Klasse: Reiterschütze
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Bogenschützen\\PARBewegung: Leicht, Schnell\\PARErforderliche Ressourcen: 1 Eisen, 1 Pferd\\PARKampfaktionen: 2 Bogenangriffe aus Entfernung 1 oder 1 hoher Bogenangriff aus Entfernung 2\\PARBesonderes: +50 % Ausweichen in der Offensive."
Class: Gunner,Klasse: Gewehrschütze
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Pyrocite\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Feuerwaffen\\PARBewegung: Normal\\PARErforderliche Ressourcen: 2 Eisen, 1 Pyrozit\\PARKampfaktionen: 1 Feuerwaffenangriff aus Entfernung 1\\PARBesonderes: Angriffe ignorieren 75 % der Rüstung und der Schaden basiert auf der Waffenkraft, nicht der STÄ."
Class: Dragoon,Klasse: Dragoner
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Feuerwaffen\\PARBewegung: Schnell\\PARErforderliche Ressourcen: 2 Eisen, 1 Pyrozit, 1 Pferd\\PARKampfaktionen: 1 Feuerwaffenangriff aus Entfernung 1\\PARBesonderes: Angriffe ignorieren 75 % der Rüstung und der Schaden basiert auf der Waffenkraft, nicht der STÄ."
Class: Siege Cannon,Klasse: Kanonier
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 3 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Feuerwaffen\\PARBewegung: Normal\\PARErforderliche Ressourcen: 3 Eisen, 1 Pyrozit, 1 Pferd\\PARKampfaktionen: In der Offensive 1 explosiver Kanonenangriff aus Entfernung 1, 2 oder 3\\PARBesonderes: Verursacht Sekundärschaden auf umliegenden Feldern. Angriffe ignorieren 75 % der Rüstung und der Schaden basiert auf der Waffenkraft, nicht der STÄ. Kann nicht kontern."
Class: Templar,Klasse: Templerin
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 2 Heals of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Unterstützung\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 1 Sonnenstein, 1 Edelstein\\PARKampfaktionen: 2 x Heilung des schwächsten Verbündeten\\PARBesonderes: Kann den Zug des Trupps zur Heilung von Mitgliedern eines benachbarten Trupps nutzen."
Class: Hospitaller,Klasse: Professritterin
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Fast\\PARResources Required: 1 Gems, 1 Horse\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","Kann Trupps anführen: Ja\\PARStufe: 2\\PAREinheitentyp: Unterstützung\\PARBewegung: Schnell\\PARErforderliche Ressourcen: 1 Edelstein, 1 Pferd\\PARKampfaktionen: 1 x Heilung des schwächsten Verbündeten\\PARBesonderes: Kann den Zug des Trupps zur Heilung von Mitgliedern eines benachbarten Trupps nutzen."
Class: Fire Mage,Klasse: Feuermagier
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target Row","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Zauberwirker\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 2 Edelsteine, 1 Sonnenstein\\PARKampfaktionen: 1 fegender Feuermagieangriff aus Entfernung 1\\PARBesonderes: Fügt der gesamten anvisierten Reihe den vollen Schaden zu."
Class: Ice Mage,Klasse: Eismagier
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Explosive Ice Magic attacks at 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target and inflicts the Chill status effect, which significantly lowers enemy SKL for the duration of the battle","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Zauberwirker\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 2 Edelsteine, 1 Sonnenstein\\PARKampfaktionen: 1 explosiver Eismagieangriff aus Entfernung 1\\PARBesonderes: Verursacht in einem großen, rautenförmigen Bereich um das Ziel Sekundärschaden und verursacht den Statuseffekt „Unterkühlt“, der die gegnerische FER für die Dauer des Kampfs deutlich reduziert."
Class: Lightning Mage,Klasse: Blitzmagier
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Column-Piercing Lightning Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target column, has a chance to inflict Daze, which lowers STR for the duration of the battle, or a small chance to inflict Stun, which completely negates one enemy turn","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Zauberwirker\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 2 Edelsteine, 1 Sonnenstein\\PARKampfaktionen: 1 Blitzmagieangriff, der die ganze Kolonne erfasst, aus Entfernung 1\\PARBesonderes: Fügt der gesamten Kolonne des Ziels den vollen Schaden zu und hat eine Chance, Gegner benommen zu machen (reduziert die STÄ für die Dauer des Kampfs) oder zu betäuben (verhindert einen gegnerischen Zug)."
Class: Sorceress,Klasse: Zauberin
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","Kann Trupps anführen: Ja\\PARStufe: 3\\PAREinheitentyp: Zauberwirker\\PARBewegung: Langsam\\PARErforderliche Ressourcen: 2 Edelsteine\\PARKampfaktionen: 1 explosiver Schattenmagieangriff aus Entfernung 1\\PARBesonderes: Verursacht in einem großen, rautenförmigen Bereich um das Ziel Sekundärschaden. Chance, Ziele zu betäuben oder benommen zu machen. Benommenheit reduziert die gegnerische STÄ für die Dauer des Kampfs, Betäubung verhindert einen gegnerischen Zug."
Class: Drakeling,Klasse: Drachling
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Kann Trupps anführen: Nein\\PARStufe: 1\\PAREinheitentyp: Drache\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Drachenatemangriffe aus Entfernung 1\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG.
"Attack Types, Armor, Bonuses and Effectiveness","Angriffsarten, Rüstung, Boni und Wirksamkeit"
"Warfare in the battlefields of Symphony of War are based around Armor. How to get more of it, or how to bypass it. Armor is advanced enough in this era that it is very effective against traditional attacks from melee weapons and bows, but offer little protection against Firearms and Magic.\\PARThe importance of Armor, which is highest in Heavy Infantry and Heavy Cavalry, is clearly represented in the militaries of Tahnra, who by and large invest a majority of their army sizes into Heavy units, with Archery being a common suppliment.\\PARA clever commander can easily think of ways to shake up the warfare meta-game of modern Tahnra, be it with ambushes by Light Squads, shocking Cavalry Charge attacks, or brute forcing through Armor with Firearms, Magicians, or Dragons.\\PARLight and Medium armor classes comprise everything not part of the Heavy Infantry or Heavy Cavalry Unit Types. Light Infantry, Light Cavalry, Archery, and Firearms Units are Medium Armor, while Support and Magicians are Light Armor. There are no special modifiers for attacks against these classes. They simply have significantly less Armor value than Heavy units.","Bei Kämpfen in Symphony of War dreht sich alles um die Rüstung. Entweder man will mehr davon, oder man will sie umgehen. In diesem Zeitalter sind Rüstungen fortschrittlich genug, um gut gegen konventionelle Angriffe mit Nahkampfwaffen und Bögen zu schützen. Gegen Feuerwaffen und Magie können sie jedoch nur wenig ausrichten.\\PARDie Armeen Tahnras spiegeln wider, wie wichtig die Rüstung ist – die beste Rüstung haben Einheiten der schweren Infanterie und schweren Kavallerie, und sie machen auch einen Großteil der Heere aus, mit Bogenschützen als Ergänzung.\\PARSchlaue Kommandanten wissen, wie sie neue Ideen für die Kriegsführung im modernen Tahnra nutzen – sei es durch Hinterhalte mit leichten Trupps, schockende Sturmangriffe mit Kavallerie, oder aber mithilfe von Feuerwaffen, Zauberwirkern oder Drachen, die Rüstungen mit roher Gewalt durchdringen.\\PARAlles, was nicht zu den schweren Infanterie- oder Kavallerieeinheiten gehört, sind leichte oder mittlere Rüstungsklassen. Leichte Infanterie, leichte Kavallerie, Bogenschützen und Feuerwaffeneinheiten tragen mittelschwere Rüstung, Unterstützungseinheiten und Zauberwirker leichte Rüstung. Es gibt für Angriffe gegen diese Klassen keine besonderen Modifikatoren. Sie haben einfach nur deutlich weniger Rüstung als schwere Einheiten."
Movement Types,Bewegungstypen
"Squad movement is derived from the units within it. Majority movement type of the squad almost always determines Squad movement type. In the case of a tie, it follows a hierarchy. Flying > Slow > Normal > Fast. Meaning, a tie between Flying units and other movement types will always create a Flying Squad. (Some units cancel flying movement. These include any Cavalry, Siege Cannons, or non-flying Dragons.) Conversely, a tie between Fast movement unit types and all other types will never create a Fast Movement type Squad.\\PARThis is the baseline Movement and terrain costs, which can and will be modified by a variety of factors, such as Squad Unit Type, Leadership aspects and traits, and Artifact aspects.","Die Bewegung eines Trupps hängt von den Einheiten ab, die er umfasst. In der Regel bestimmt der bei den Einheiten mehrheitlich vertretene Bewegungstyp den des Trupps. Bei Gleichstand gibt es eine Reihenfolge. Fliegend -> Langsam -> Normal -> Schnell. Bei Gleichstand zwischen fliegenden Einheiten und anderen Bewegungstypen entsteht also immer ein fliegender Trupp. (Manche Einheiten verhindern jedoch, dass ein Trupp fliegt. Dazu gehören Kavallerieeinheiten, Kanoniere und flugunfähige Drachen.) Umgekehrt entsteht bei Gleichstand zwischen schnellen Einheiten und anderen Typen nie ein schneller Trupp.\\PARHier werden der Bewegungsgrundwert und die Modifikatoren für Gelände bestimmt. Sie werden durch verschiedene Faktoren modifiziert, wie dem Einheitentyp des Trupps, dem Anführer und seinen Eigenschaften und Artefakten."
Unit Types,Einheitentypen
"Squad Type is derived from the units within it. Majority Unit type of the squad almost always determines Squad Type. In the case of a tie, it follows a hierarchy. Normal Infantry > Normal Cavalry > Light > Light Cavalry. Meaning, a tie between Normal units and other unit types will always create a Normal Infantry Squad. Conversely, a tie between Light Cavalry unit types and all other types will never create a Light Cavalry Squad Type.\\PARSquad Type's primary function is to determine which Squads get the significant benefit of being considered a 'Light' Type Squad, which grants the ability to conduct Ambushes, and lowers Movement cost of Rough terrain to 2.4 from 3.\\PARAmbushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd.\\PAR'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","Der Trupptyp hängt von den Einheiten ab, die der Trupp umfasst. In der Regel bestimmt der bei den Einheiten mehrheitlich vertretene Einheitentyp den des Trupps. Bei Gleichstand gibt es eine Reihenfolge. Normale Infanterie -> Normale Kavallerie -> Leicht -> Leichte Kavallerie. Bei Gleichstand zwischen normalen Einheiten und anderen Einheiten entsteht also immer ein normaler Infanterietrupp. Umgekehrt entsteht bei einem Gleichstand zwischen leichten Kavallerieeinheiten und anderen Typen nie ein leichter Kavallerietrupp.\\PARDer Einheitentyp ist primär dazu da, zu bestimmen, welche Trupps als „leichter“ Trupp eingestuft werden. Dies gewährt den Vorteil, aus dem Hinterhalt angreifen zu können, und senkt die Bewegungskosten auf unwegsamem Gelände von 3 auf 2,4.\\PARHinterhalte sind extrem mächtige Angriffe. Dazu muss dein leichter Trupp sich zu Beginn seines Zugs auf einem Wald-, Hügel-, Sumpf- oder Stadtfeld befinden (oder auf bestimmten Feldzielen) und ein Ziel angreifen, das entweder benachbart ist oder sich ebenfalls auf solchem Gelände befindet. Wenn du aus dem Hinterhalt angreifst, kann der Gegner nach der ersten Attacke nicht kontern – erst nach der zweiten.\\PARNormale und leichte Kavallerieeinheiten können Überfälle ausführen. Nach einer Aktion wie Angreifen oder Heilen kann der Kavallerietrupp sich um die Hälfte seiner ursprünglichen Bewegungspunkte bewegen."
Learnable Trait List (Unit level),Eigenschaften (Einheitenebene)
"These Traits are always active and apply only to the Unit. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","Diese Eigenschaften sind immer aktiv und wirken sich nur auf die Einheit aus. Es gibt noch mehr davon, aber sie sind an eine bestimmte Klasse oder einen einzigartigen Charakter gebunden. Du kannst alle diese Eigenschaften über Fertigkeitsfolianten erlernen. Zufällig erzeugte Einheiten können sie auch bereits besitzen.\\PAR"
Learnable Trait List (Leader level),Eigenschaften (Anführerebene)
"These Traits can be found on any Unit, but are only active if that Unit is a Squad Leader. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","Diese Eigenschaften können bei allen Einheiten auftreten, sind aber nur aktiv, wenn die Einheit Anführer eines Trupps ist. Es gibt noch mehr davon, aber sie sind an eine bestimmte Klasse oder einen einzigartigen Charakter gebunden. Du kannst alle diese Eigenschaften über Fertigkeitsfolianten erlernen. Zufällig erzeugte Einheiten können sie auch bereits besitzen.\\PAR"
Loyalty,Treue
"Determines Capacity cost. Only applies to followers, not leaders. Mercenaries start with the lowest loyalty, for example. Loyalty is gained over time through combat experience and capturing objectives.","Bestimmt, wie viel Kapazität eine Einheit kostet. Dies gilt nur für Untergebene, nicht für Anführer. Söldner haben zu Anfang die niedrigste Treue. Die Treue wächst mit der Zeit durch Kampferfahrung und die Eroberung von Zielen."
Threat Rating,Machtwert
"An overall rating of the Threat level of your Units and Squads. Affects enemy decision making - they are less likely to target Squads with higher Threat. Also affects Surrender chance. If your Threat Rating is lower than the Squad being targeted, they will not Surrender.","Eine Gesamteinschätzung der Macht deiner Einheiten und Trupps. Sie beeinflusst gegnerische Entscheidungen – Gegner greifen mit geringerer Wahrscheinlichkeit Trupps mit hoher Macht an. Auch die Chance auf eine Kapitulation wird davon beeinflusst. Wenn dein Machtwert unter dem des Zieltrupps liegt, wird dieser nicht kapitulieren."
Block (formation),Blocken (Formation)
"All units block allies from melee attacks when they are anywhere in the formation behind the blocking unit. Note, this is reversed for stealth/back attacks. The scope of blocking includes tiles in the same column, OR in the half-step columns directly above and below the blocking unit. Non-melee attacks are exempt from being blocked.","Alle Einheiten blocken Nahkampfangriffe gegen Verbündete, wenn diese sich in der Formation hinter der blockenden Einheit befinden. Beachte, dass für Schleichangriffe das Gegenteil gilt. Das Blocken gilt für Felder derselben Kolonne sowie die, die um ein halbes Feld verrückt sind und direkt über und unter der blockenden Einheit liegen. Angriffe, die keine Nahkampfangriffe sind, werden nicht geblockt."
Cover (formation),Deckung (Formation)
"Heavy Infantry, Heavy Cavalry, Light Infantry, Light Cavalry, and Dragons can Cover allies based on formation. Being 'covered' reduces damage taken. The area/range of effect is the same as Blocking, but the scope or magnitude of the damage reduction varies. Heavy units confer more damage reduction than light units. The closer the proximity to the Covering unit, the greater the damage reduction. Cover can 'stack' if covered by more than one unit.","Schwere Infanterie, schwere Kavallerie, leichte Infanterie, leichte Kavallerie und Drachen können Verbündete abhängig von der Formation decken. Das bedeutet, dass diese weniger Schaden erleiden. Der Effektbereich ist derselbe wie beim Blocken, aber die Wirksamkeit der Schadensreduzierung variiert. Schwere Einheiten gewähren eine höhere Schadensreduzierung als leichte. Je näher die Einheit an der Einheit ist, die Deckung gewährt, desto höher die Schadensreduzierung. Deckung ist „stapelbar“, wenn sie von mehr als einer Einheit gewährt wird."
Capacity,Kapazität
"Squad Capacity determines how many units and artifacts can comprise a squad. It is derived directly from the LDR stat of the Squad Leader. The default capacity cost of a unit is 10, and is modified by loyalty traits, or 'captain' leader traits. The cost of new units entering a squad increases to a baseline of 12 for the 6th unit, 14 for the 7th unit, 16 for the 8th unit, and 18 for the 9th unit.","Die Kapazität eines Trupps bestimmt, wie viele Einheiten und Artefakte der Trupp umfassen kann. Sie wird direkt vom FÜH-Wert des Anführers abgeleitet. Standardmäßig kostet eine Einheit 10. Dies wird von der Treue und ggf. der Eigenschaft „Hauptmann“ des Anführers modifiziert. Wenn einem Trupp neue Einheiten hinzugefügt werden, erhöhen sich die Kosten bei der 6. Einheit auf 12, bei der 7. auf 14, bei der 8. auf 16 und bei der 9. auf 18."
Status Effects,Statuseffekte
Chill: Greatly reduces SKL for the duration of battle.\\PARDazed: Reduces STR for the duration of battle.\\PARStun: Magical stun inflicted by Sirens and Sorceresses. Prevents action.\\PARShock: Physical stun inflicted by Cavalry Charge.,Unterkühlung: Reduziert die FER für die Dauer des Kampfs stark.\\PARBenommenheit: Reduziert die STÄ für die Dauer des Kampfs.\\PARBetäubung: Sirenen und Zauberinnen verursachen magische Betäubung. Sie verhindert Aktionen.\\PARSchock: Eine durch anstürmende Kavallerie verursachte körperliche Betäubung.
(Formation) Row,(Formation) Reihe
"Side to side, from your Squad's perspective. The attack pattern of Zweihanders, Diana, and Fire Mages.","Die Einheiten, die aus der Sicht deines Trupps nebeneinander stehen. Zweihänder, Diana und Feuermagier greifen Reihen an."
(Formation) Column,(Formation) Kolonne
"Front to back, from your Squad's perspective. The attack pattern of Centurions, and Lightning Mages.","Die Einheiten, die aus der Sicht deines Trupps hintereinander stehen. Zenturios und Blitzmagier greifen Kolonnen an."
Shuffle,Platz tauschen
Swap the position of 2 player Squads. This will consume the action of the Squad initiating the Shuffle for that turn.\\PARCavalry and Flying Squads cannot participate in a Shuffle.,"Lässt 2 Spielertrupps den Platz tauschen. Damit wird die Aktion des Trupps, der den Platzwechsel initiiert, für diese Runde verbraucht.\\PARKavallerie- und fliegende Trupps können nicht den Platz tauschen."
Ambush,Hinterhalt
"Ambushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd, giving you one free attack.","Wenn du einen Hinterhalt ausführen kannst, ist dies ein enorm mächtiger Angriff. Dazu muss dein leichter Trupp sich zu Beginn seines Zugs auf einem Wald-, Hügel-, Sumpf- oder Stadtfeld befinden (oder auf bestimmten Feldzielen) und ein Ziel angreifen, das entweder benachbart ist oder sich ebenfalls auf solchem Gelände befindet. Bei einem Angriff aus dem Hinterhalt kann der Gegner die erste Attacke nicht kontern, nur die zweite. Du hast also einen Angriff, der dich nichts kostet."
Surround (Lowering enemy Morale tactic),Umzingeln (demoralisierende Taktik)
"You can significantly lower enemy Morale by surrounding an enemy squad, standing directly adjacent. The effect starts when you have 2 squads adjacent, and increases effect when you have 3, and 4 for maximum effect.","Du kannst die gegnerische Moral deutlich reduzieren, indem du einen Trupp mit Trupps auf direkt benachbarten Feldern umzingelst. Der Effekt setzt bei 2 benachbarten Trupps ein, steigt bei 3 und erzielt bei 4 maximale Wirkung."
Class: Dragon,Klasse: Drache
Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Kann Trupps anführen: Nein\\PARStufe: 2\\PAREinheitentyp: Drache\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Feuer-Drachenatemangriffe aus Entfernung 1\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG.
Class: Blue Dragon,Klasse: Blauer Drache
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Kann Trupps anführen: Nein\\PARStufe: 3\\PAREinheitentyp: Drache\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Blitz-Drachenatemangriffe aus Entfernung 1\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG.
Class: Silver Dragon,Klasse: Silberner Drache
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Kann Trupps anführen: Nein\\PARStufe: 3\\PAREinheitentyp: Drache\\PARBewegung: Normal\\PARErforderliche Ressourcen: \\PARKampfaktionen: 2 Eis-Drachenatemangriffe aus Entfernung 1\\PARBesonderes: Der Schaden des Drachenatems basiert gleichermaßen auf STÄ und MAG.
Class: Red Dragon,Klasse: Roter Drache
