ENGLISH,PORTUGUÊS (BRASIL)
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Armas de fogo\\PARTipo de movimento: Rápido\\PARRecursos necessários: 2 de ferro, 1 pirocita, 1 cavalo\\PARAções de batalha: 1 ataque de arma de fogo a 1 espaço de distância\\PAREspecial: Ataques ignoram 75% da armadura, dano derivado do poder da arma, não de FOR."
Class: Siege Cannon,Classe: Canhão de cerco
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 3 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Armas de fogo\\PARTipo de movimento: Normal\\PARRecursos necessários: 3 de ferro, 1 pirocita, 1 cavalo\\PARAções de batalha: No ataque, 1 ataque de canhão explosivo a 1, 2 ou 3 espaços\\PAREspecial: Causa dano de rebote aos espaços ao redor. Ataques ignoram 75% da armadura, dano derivado do poder da arma, não de FOR. Não é possível contra-atacar."
Class: Templar,Classe: Templária
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 2 Heals of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Apoio\\PARTipo de movimento: Lento\\PARRecursos necessários: 1 pedra do sol, 1 gema\\PARAções de batalha: 2 curas do aliado mais fraco\\PAREspecial: Pode usar o turno do esquadrão para curar membros de um esquadrão adjacente"
Class: Hospitaller,Classe: Hospitalária
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Fast\\PARResources Required: 1 Gems, 1 Horse\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Apoio\\PARTipo de movimento: Rápido\\PARRecursos necessários: 1 gema, 1 cavalo\\PARAções de batalha: 1 cura do aliado mais fraco\\PAREspecial: Pode usar o turno do esquadrão para curar membros de um esquadrão adjacente"
Class: Fire Mage,Classe: Mago de fogo
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target Row","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Mago\\PARTipo de movimento: Lento\\PARRecursos necessários: 2 gemas, 1 pedra do sol\\PARAções de batalha: 1 ataque de magia de fogo amplo a 1 espaço de distância\\PAREspecial: Causa dano total à toda fileira alvo"
Class: Ice Mage,Classe: Mago de gelo
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Explosive Ice Magic attacks at 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target and inflicts the Chill status effect, which significantly lowers enemy SKL for the duration of the battle","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Mago\\PARTipo de movimento: Lento\\PARRecursos necessários: 2 gemas, 1 pedra do sol\\PARAções de batalha: 1 ataque explosivo de magia de gelo a 1 espaço de distância\\PAREspecial: Causa dano de rebote a uma área em formato losangular ao redor do alvo e inflige o efeito de estado Congelar, que reduz significativamente a HAB do inimigo pela duração da batalha."
Class: Lightning Mage,Classe: Mago de trovão
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Column-Piercing Lightning Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target column, has a chance to inflict Daze, which lowers STR for the duration of the battle, or a small chance to inflict Stun, which completely negates one enemy turn","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Mago\\PARTipo de movimento: Lento\\PARRecursos necessários: 2 gemas, 1 pedra do sol\\PARAções de batalha: 1 ataque de perfuração em coluna de magia de trovão a 1 espaço de distância\\PAREspecial: Causa dano total a toda a coluna alvo, possui uma chance de infligir Confusão, o que reduz a FOR do inimigo durante a batalha, ou uma pequena chance de infligir Atordoamento, que nega ao inimigo um turno completo"
Class: Sorceress,Classe: Feiticeira
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Mago\\PARTipo de movimento: Lento\\PARRecursos necessários: 2 gemas\\PARAções de batalha: 1 ataque explosivo de magia das trevas a 1 espaço de distância\\PAREspecial: Causa dano de rebote a uma grande área em formato losangular ao redor do alvo. Chance de atordoar ou confundir alvos. Confusão reduz a FOR do inimigo durante a batalha, enquanto Atordoar nega ao inimigo um turno completo"
Class: Drakeling,Classe: Dragonito
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Pode ser líder do esquadrão: Não\\PARNível: 1\\PARTipo de unidade: Dragão\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de sopro de dragão a 1 espaço de distância\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente.
"Attack Types, Armor, Bonuses and Effectiveness","Ataques, Armadura, Bônus e Eficácia"
"Warfare in the battlefields of Symphony of War are based around Armor. How to get more of it, or how to bypass it. Armor is advanced enough in this era that it is very effective against traditional attacks from melee weapons and bows, but offer little protection against Firearms and Magic.\\PARThe importance of Armor, which is highest in Heavy Infantry and Heavy Cavalry, is clearly represented in the militaries of Tahnra, who by and large invest a majority of their army sizes into Heavy units, with Archery being a common suppliment.\\PARA clever commander can easily think of ways to shake up the warfare meta-game of modern Tahnra, be it with ambushes by Light Squads, shocking Cavalry Charge attacks, or brute forcing through Armor with Firearms, Magicians, or Dragons.\\PARLight and Medium armor classes comprise everything not part of the Heavy Infantry or Heavy Cavalry Unit Types. Light Infantry, Light Cavalry, Archery, and Firearms Units are Medium Armor, while Support and Magicians are Light Armor. There are no special modifiers for attacks against these classes. They simply have significantly less Armor value than Heavy units.","A guerra nos campos de batalha do Symphony of War é baseada em armaduras. Como obter mais ou como contorná-la. Nesta era, a armadura é avançada o suficiente e muito eficaz contra ataques tradicionais de armas corpo-a-corpo e arcos, mas oferece pouca proteção contra armas de fogo e magia.\\PARA importância da Armadura, que é maior na Infantaria Pesada e na Cavalaria Pesada, está claramente representada nas forças armadas de Tahnra, que em geral investem a maior parte do tamanho de seu exército em unidades Pesadas, sendo a Arquearia um complemento comum.\\PARUm comandante inteligente pode facilmente pensar em maneiras de agitar o metajogo de guerra de Tahnra moderna, seja com emboscadas de esquadrões leves, ataques chocantes de carga de cavalaria ou força bruta para atravessar armaduras com armas de fogo, magos ou dragões.\\PARAs classes de armadura leve e média compreendem tudo o que não faz parte dos tipos de unidade de Infantaria Pesada ou Cavalaria Pesada. Unidades de Infantaria Leve, Cavalaria Leve, Arquearia e Armas de Fogo são Armaduras Médias, enquanto Apoio e Magos são Armaduras Leves. Não há modificadores especiais para ataques contra essas classes. Eles simplesmente têm um valor de armadura significativamente menor do que as unidades pesadas."
Movement Types,Tipos de movimentos
"Squad movement is derived from the units within it. Majority movement type of the squad almost always determines Squad movement type. In the case of a tie, it follows a hierarchy. Flying > Slow > Normal > Fast. Meaning, a tie between Flying units and other movement types will always create a Flying Squad. (Some units cancel flying movement. These include any Cavalry, Siege Cannons, or non-flying Dragons.) Conversely, a tie between Fast movement unit types and all other types will never create a Fast Movement type Squad.\\PARThis is the baseline Movement and terrain costs, which can and will be modified by a variety of factors, such as Squad Unit Type, Leadership aspects and traits, and Artifact aspects.","O movimento do esquadrão é derivado das unidades dentro dele. O tipo de movimento majoritário do esquadrão quase sempre determina o tipo de movimento do esquadrão. No caso de empate, segue uma hierarquia. Voador > Lento > Normal > Rápido. Ou seja, um empate entre unidades Voadoras e outros tipos de movimento sempre criará um Esquadrão Voador. (Algumas unidades cancelam o movimento de voar. Isso inclui qualquer cavalaria, canhões de cerco ou dragões não voadores.) Por outro lado, um empate entre os tipos de unidade de movimento rápido e todos os outros tipos nunca criará um esquadrão do tipo movimento rápido.\\PAREsta é a linha de base dos custos de movimento e terreno, que podem e serão modificados por uma variedade de fatores, como tipo de unidade do esquadrão, aspectos e características de liderança e aspectos de artefato."
Unit Types,Tipos de unidades
"Squad Type is derived from the units within it. Majority Unit type of the squad almost always determines Squad Type. In the case of a tie, it follows a hierarchy. Normal Infantry > Normal Cavalry > Light > Light Cavalry. Meaning, a tie between Normal units and other unit types will always create a Normal Infantry Squad. Conversely, a tie between Light Cavalry unit types and all other types will never create a Light Cavalry Squad Type.\\PARSquad Type's primary function is to determine which Squads get the significant benefit of being considered a 'Light' Type Squad, which grants the ability to conduct Ambushes, and lowers Movement cost of Rough terrain to 2.4 from 3.\\PARAmbushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd.\\PAR'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","O tipo de esquadrão é derivado das unidades que o compõe. O tipo de unidade majoritário do esquadrão quase sempre determina o tipo do esquadrão. No caso de empate, segue uma hierarquia. Infantaria normal > Cavalaria normal > Leve > Cavalaria leve. Ou seja, um empate entre unidades Normais e outros tipos de movimento sempre criará um Esquadrão de infantaria Normal. Por outro lado, um empate entre os tipos de unidade de Cavalaria Leve e todos os outros tipos nunca criará um Tipo de Esquadrão de Cavalaria Leve.\\PARA principal função do tipo de esquadrão é determinar quais esquadrões obtêm o benefício significativo de serem considerados um esquadrão do tipo “Leve”, que concede a capacidade de conduzir emboscadas e reduz o custo de movimento de terreno acidentado para 2,4 de 3.\\PARAs emboscadas são tremendamente poderosas se executadas. Seu esquadrão de tipo leve deve começar o turno em bosques, colinas, pântanos, cenários urbanos e alguns objetivos de campo e atacar um alvo também dentro do território de emboscada ou diretamente adjacente. Se você executar uma Emboscada, o inimigo não poderá contra-atacar na primeira vez, apenas na segunda.\\PAR""Bater e correr” é uma característica dos tipos de esquadrão de Cavalaria Normal e Cavalaria Leve. Depois de realizar uma ação como atacar ou curar, um Esquadrão de Cavalaria pode se mover novamente usando metade de seus Pontos de Movimento totais originais."
Learnable Trait List (Unit level),Características aprendíveis (nível da unidade)
"These Traits are always active and apply only to the Unit. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","Essas Características ficam sempre ativas e se aplicam apenas à Unidade. Existem mais características, mas estão ligadas a uma classe ou a um personagem exclusivo. Todas essas características podem ser aprendidas por meio de Tomos de Habilidade ou são características inatas em unidades geradas aleatoriamente.\\PAR"
Learnable Trait List (Leader level),Características aprendíveis (nível do líder)
"These Traits can be found on any Unit, but are only active if that Unit is a Squad Leader. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","Essas características podem ser encontradas em qualquer unidade, mas só estarão ativas se essa unidade for um líder de esquadrão. Existem mais características, mas estão ligadas a uma classe ou a um personagem exclusivo. Todas essas características podem ser aprendidas por meio de Tomos de Habilidade ou são características inatas em unidades geradas aleatoriamente.\\PAR"
Loyalty,Lealdade
"Determines Capacity cost. Only applies to followers, not leaders. Mercenaries start with the lowest loyalty, for example. Loyalty is gained over time through combat experience and capturing objectives.","Determina o custo de capacidade. Aplica-se apenas a seguidores, não a líderes. Os mercenários, por exemplo, começam com a lealdade mais baixa. A lealdade é obtida ao longo do tempo por meio da experiência de combate e captura de objetivos."
Threat Rating,Classe de ameaça
"An overall rating of the Threat level of your Units and Squads. Affects enemy decision making - they are less likely to target Squads with higher Threat. Also affects Surrender chance. If your Threat Rating is lower than the Squad being targeted, they will not Surrender.","Uma classificação geral do nível de ameaça de suas unidades e esquadrões. Afeta a tomada de decisão do inimigo. Eles são menos propensos a atingir esquadrões com ameaça maior. Também afeta a chance de rendição. Se sua Classe de ameaça for menor que a do Esquadrão alvo, eles não se renderão."
Block (formation),Bloco (formação)
"All units block allies from melee attacks when they are anywhere in the formation behind the blocking unit. Note, this is reversed for stealth/back attacks. The scope of blocking includes tiles in the same column, OR in the half-step columns directly above and below the blocking unit. Non-melee attacks are exempt from being blocked.",Todas as unidades bloqueiam aliados de ataques corpo-a-corpo quando eles estão em qualquer lugar na formação atrás da unidade de bloqueio. Observe que isso é revertido para ataques furtivos/por trás. O escopo do bloqueio inclui espaços na mesma coluna OU nas colunas de meio passo diretamente acima e abaixo da unidade de bloqueio. Ataques não corporais estão isentos de serem bloqueados.
Cover (formation),Cobertura (formação)
"Heavy Infantry, Heavy Cavalry, Light Infantry, Light Cavalry, and Dragons can Cover allies based on formation. Being 'covered' reduces damage taken. The area/range of effect is the same as Blocking, but the scope or magnitude of the damage reduction varies. Heavy units confer more damage reduction than light units. The closer the proximity to the Covering unit, the greater the damage reduction. Cover can 'stack' if covered by more than one unit.","Infantaria Pesada, Cavalaria Pesada, Infantaria Leve, Cavalaria Leve e Dragões podem cobrir aliados com base na formação. Ser “coberto” reduz o dano recebido. A área/alcance do efeito é a mesma do Bloqueio, mas o escopo ou magnitude da redução de dano varia. Unidades pesadas concedem mais redução de dano do que unidades leves. Quanto maior a proximidade da unidade de Cobertura, maior a redução de dano. A cobertura pode “empilhar” se for coberta por mais de uma unidade."
Capacity,Capacidade
"Squad Capacity determines how many units and artifacts can comprise a squad. It is derived directly from the LDR stat of the Squad Leader. The default capacity cost of a unit is 10, and is modified by loyalty traits, or 'captain' leader traits. The cost of new units entering a squad increases to a baseline of 12 for the 6th unit, 14 for the 7th unit, 16 for the 8th unit, and 18 for the 9th unit.","A capacidade do esquadrão determina quantas unidades e artefatos podem compor um esquadrão. É derivada diretamente da estatística LID do Líder do esquadrão. O custo de capacidade padrão de uma unidade é 10 e é modificado por características de lealdade ou características de líder “capitão”. O custo de novas unidades entrando em um esquadrão aumenta para uma linha base de 12 para a 6ª unidade, 14 para a 7ª unidade, 16 para a 8ª unidade e 18 para a 9ª unidade."
Status Effects,Efeitos de estado
Chill: Greatly reduces SKL for the duration of battle.\\PARDazed: Reduces STR for the duration of battle.\\PARStun: Magical stun inflicted by Sirens and Sorceresses. Prevents action.\\PARShock: Physical stun inflicted by Cavalry Charge.,Congelar: Reduz bastante a HAB durante a batalha.\\PARConfundir: Reduz FOR pela duração da batalha.\\PARAtordoar: Atordoamento mágico infligido por Sereias e Feiticeiras. Previne ações.\\PARChoque: Atordoamento físico infligido por Carga de Cavalaria.
(Formation) Row,(Formação) Fileira
"Side to side, from your Squad's perspective. The attack pattern of Zweihanders, Diana, and Fire Mages.","Lado a lado, da perspectiva do seu esquadrão. O padrão de ataque de Zweihanders, Diana e Magos de Fogo."
(Formation) Column,(Formação) Coluna
"Front to back, from your Squad's perspective. The attack pattern of Centurions, and Lightning Mages.","Frente para trás, da perspectiva do seu esquadrão. O padrão de ataque de Centuriões e Magos de Trovão."
Shuffle,Embaralhar
Swap the position of 2 player Squads. This will consume the action of the Squad initiating the Shuffle for that turn.\\PARCavalry and Flying Squads cannot participate in a Shuffle.,Troca a posição de 2 esquadrões do jogador. Isso consumirá a ação do Esquadrão que iniciou o Embaralhamento naquele turno.\\PARCavalaria e esquadrões voadores não podem participar de um Embaralhamento.
Ambush,Emboscar
"Ambushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd, giving you one free attack.","Emboscadas são tremendamente poderosas se executadas. Seu esquadrão de tipo leve deve começar o turno em bosques, colinas, pântanos, cenários urbanos e alguns objetivos de campo e atacar um alvo também dentro do território de emboscada ou diretamente adjacente. Se você executar uma emboscada, o inimigo não poderá contra-atacar na primeira vez, apenas na segunda, dando a você um ataque grátis."
Surround (Lowering enemy Morale tactic),Cercar (reduz moral do inimigo)
"You can significantly lower enemy Morale by surrounding an enemy squad, standing directly adjacent. The effect starts when you have 2 squads adjacent, and increases effect when you have 3, and 4 for maximum effect.","Você pode diminuir significativamente o moral do inimigo cercando um esquadrão inimigo, ficando diretamente adjacente. O efeito começa quando você tem 2 esquadrões adjacentes e aumenta o efeito quando você tem 3 e 4 (para efeito máximo)."
Class: Dragon,Classe: Dragão
Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Pode ser líder do esquadrão: Não\\PARNível: 2\\PARTipo de unidade: Dragão\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de sopro de dragão de fogo a 1 espaço de distância\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente.
Class: Blue Dragon,Classe: Dragão azul
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Pode ser líder do esquadrão: Não\\PARNível: 3\\PARTipo de unidade: Dragão\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de sopro de dragão de trovão a 1 espaço de distância\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente.
Class: Silver Dragon,Classe: Dragão prata
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Pode ser líder do esquadrão: Não\\PARNível: 3\\PARTipo de unidade: Dragão\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de sopro de dragão de gelo a 1 espaço de distância\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente.
Class: Red Dragon,Classe: Dragão vermelho
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Pode ser líder do esquadrão: Não\\PARNível: 3\\PARTipo de unidade: Dragão\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de sopro de dragão de fogo a 1 espaço de distância\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente.
Class: Blue Dragon Rider,Classe: Cavaleiro de dragão azul
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Pode ser líder do esquadrão: Sim\\PARNível: 4\\PARTipo de unidade: Dragão\\PARTipo de movimento: Voador\\PARRecursos necessários: 2 gemas, 2 obsidianas\\PARAções de batalha: 2 ataques de sopro de dragão de trovão a 1 espaço de distância\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente."
Class: Silver Dragon Rider,Classe: Cavaleiro de dragão prata
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Pode ser líder do esquadrão: Sim\\PARNível: 4\\PARTipo de unidade: Dragão\\PARTipo de movimento: Voador\\PARRecursos necessários: 2 gemas, 2 obsidianas\\PARAções de batalha: 2 ataques de sopro de dragão de gelo a 1 espaço de distância\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente."
Class: Red Dragon Rider,Classe: Cavaleiro de dragão vermelho
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Pode ser líder do esquadrão: Sim\\PARNível: 4\\PARTipo de unidade: Dragão\\PARTipo de movimento: Voador\\PARRecursos necessários: 2 gemas, 2 obsidianas\\PARAções de batalha: 2 ataques de sopro de dragão de fogo a 1 espaço de distância\\PAREspecial: O dano do sopro de dragão é derivado de ambos FOR e MAG igualmente."
Class: Captain,Classe: Capitão
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains,Pode ser líder do esquadrão: Sim\\PARNível: 2\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques de corte a 1 espaço de distância\\PAREspecial: Ganha um pequeno valor de LID dos ganhos de LID de todo o exército
Class: Lord,Classe: Lorde
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 1 MAG-based Area effect attack, and 1 Slashing attack at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains",Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 1 ataques de efeito de área baseado em MAG e 1 ataque de corte a 1 espaço\\PAREspecial: Ganha um pequeno valor de LID dos ganhos de LID de todo o exército
Class: Blademaster,Classe: Mestre das lâminas
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required:\\PARBattle Actions: 2 Slashing double-attacks at 1 range OR 1 archery attack at 2 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria leve\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques duplos de corte a 1 espaço OU 1 ataque de arco a 2 espaços\\PAREspecial: Evasão aumentada em bosque, cenário urbano, colinas e pântano"
Class: Exemplar,Classe: Exemplar
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Striking, wide-sweeping at 1 range that strike an entire row\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria pesada\\PARTipo de movimento: Normal\\PARRecursos necessários: -\\PARAções de batalha: 2 golpes amplos a 1 espaço que atinge toda uma fileira\\PAREspecial: Resiste a magia e a ataques de sopro de dragão em 25% do valor da armadura da unidade
Class: General,Classe: General
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Cavalry\\PARResources Required:\\PARBattle Actions: 1 moderate heal that affects the entire Squad\\PARSpecial:,Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Apoio\\PARTipo de movimento: Cavalaria\\PARRecursos necessários: -\\PARAções de batalha: 1 cura moderada que afeta todo o esquadrão\\PAREspecial: -
Class: Mirage,Classe: Miragem
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 3 Stealth Attacks at 1 range\\PARSpecial:,Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Infantaria leve\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: 3 ataques furtivos a 1 espaço de distância\\PAREspecial: -
Class: Arbalest,Classe: Besta
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR -25% damage taken from ranged attacks","Pode ser líder do esquadrão: Sim\\PARNível: 3\\PARTipo de unidade: Arquearia\\PARTipo de movimento: Normal\\PARRecursos necessários: 3 de ferro\\PARAções de batalha: 2 ataques de arco a 1 espaço de distância ou 1 ataque de arco certeiro a 2 espaços de distância\\PAREspecial: Ataques ignoram 25% da armadura, dano derivado do poder da arma, -25% de dano que não de FOR recebido de ataques a distância"
Class: War Cat,Classe: Gato de guerra
"Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls",Pode ser líder do esquadrão: Não\\PARNível: 2\\PARTipo de unidade: Besta\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques amplos de corte a 1 espaço\\PAREspecial: O ataque causa dano de rebote a 1 espaço adjacente ao alvo na mesma fileira; pode atacar por muralhas
Class: Behemoth,Classe: Beemote
"Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls",Pode ser líder do esquadrão: Não\\PARNível: 3\\PARTipo de unidade: Besta\\PARTipo de movimento: Leve\\PARRecursos necessários: -\\PARAções de batalha: 2 ataques amplos de corte a 1 espaço\\PAREspecial: O ataque causa dano de rebote a 1 espaço adjacente ao alvo na mesma fileira; pode atacar por muralhas
Class: Necromancer,Classe: Necromante
