Complete The Chapter within 15 turns,Завершите главу за 15 ходов,
Seize Fort Eureeka,Захватите форт Эврика,
The enemy captures Trucea,Враг захватывает Труцию,
Survive against Casamir's army for 2 turns,Продержитесь против Казамира 2 хода,
Survive against Casamir's army for 4 turns,Продержитесь против Казамира 4 хода,
Survive against Casamir's army for 6 turns,Продержитесь против Казамира 6 ходов,
Defend Fort Eureeka OR,Защитите форт Эврика,
Defeat Casamir's entire army,Одолейте всю армию Казамира,
The enemy captures Fort Eureeka,Враг захватывает форт Эврика,
Seize Rimorgue and Stormrook,Захватите Риморг и Штормрук,
Hand of Zanatus is defeated in battle,Длань Занатуса падёт в бою,
Diana reaches the stairs to the dungeon,Диана доходит до лестницы в подземелье,
Diana is defeated in battle,Диана падёт в бою,
Destroy bridge after all children are safe,Уничтожьте мост после того как спасёте детей,
Diana reaches Centurion's Rest,Диана доходит до Убежища Центуриона,
Diana is defeated in battle OR,Диана падёт в бою ИЛИ,
None of the escaping children survive,Не выживет ни один спасённый ребёнок,
Seize Imperial Sally Port,Захватите имперские вылазные ворота,
The enemy captures Diana Front Base,Враг захватит передовую базу Дианы,
Avoid battle with the Hand of Zanatus,Избегите битвы с Дланью Занатуса,
Diana reaches the Portal to Mount Ptolomea,Диана доходит до портала в гору Птоломея,
Use a Nephilim Power,Воспользуйтесь силой нефилима,
Seize Embor,Захватите Эмбор,
The enemy captures Centurion's Rest,Враг захватывает Убежище Центуриона,
"Narima, Raskuja, and Sybil survive","Нарима, Раскуджа и Сибил должны выжить",
Defend Eastwall Fortress for 10 turns OR,Защищайте крепость Иствол 10 ходов ИЛИ,
Destroy all enemy Squads,Разбейте все вражеские отряды,
Lysander is defeated in battle OR,Лисандер падёт в бою ИЛИ,
The enemy captures Eastwall Front Base,Враг захватит передовую базу Иствол,
Avoid taking hazard damage from lava,Не получите урон от лавы,
\\N[8] reaches the Stone Gate,\\N[8] войдёт в Каменные Врата,
"Seize Felnamia, the castle town",Захватите город-замок Фелманию,
\\N[8] reaches the Donari Temple,\\N[8] попадает в храм Донари,
Sybil is defeated in battle OR,Сибил падёт в бою ИЛИ,
The enemy captures Felnamia Front Base,Враг захватит передовую базу Фелмания,
Azuros does not fall below 50% HP,ОЗ Азуроса не опустятся ниже 50%,
"Seize the enemy Home Base, Nikeda Redoubt",Захватите вражескую главную базу — цитадель Никеда,
Azuros is defeated in battle OR,Азурос падёт в бою ИЛИ,
The enemy captures Eberminster,враг захватит Эберминстер,
Do not kill any Sisterhood of Mercy,Не убейте ни одну из Сестёр Милосердия,
Destroy all of the Zanatus Mages,Уничтожьте всех магов Занатуса,
Edelia is defeated in battle,Эделия падёт в бою,
No enemy squads escape,Не упустить ни один вражеский отряд,
Destroy all enemy Squads OR,Разбейте все вражеские отряды ИЛИ,
All enemy Firearms Squads Retreat,Заставьте отступить все вражеские огнестрельные отряды,
\\N[8] reaches the dungeon staircase,\\N[8] дойдёт до лестницы в подземелье,
"Seize Blackstone, the Tidereaver Base",Захватите базу тайдриверских пиратов Блэкстоун,
Seize Crestmoor,Захватите Крестмур,
The enemy captures Sandraka Front Base,Враг захватит передовую базу Сандрака,
Seize all Objectives,Захватите все объекты,
Seize Greywind Shrine,Захватите святилище Грейвинд,
Jules is not defeated in battle,Джулс не падёт в бою,
Survive for 6 turns OR,Продержитесь 6 ходов ИЛИ,
Seize all Mines,Захватите все шахты,
Seize Fort Dakur,Захватите форт Дакур,
The enemy captures Ezrum,Враг захватывает Эзрум,
Cause at least 3 Sayunaari squads to Surrender,Принудите не менее 3 отрядов саюна к сдаче,
Seize Sayunaa,Захватите Саюна,
The enemy captures Fort Dakur,Враг захватывает форт Дакур,
Seize Rimorgue,Захватите Риморг,
The enemy captures Nephilim Army Base,Враг захватывает базу армии нефилимов,
Destroy no more than 3 Imperial Squads,Разбейте не более 3 имперских отрядов,
Seize Armitage,Захватите Армитаж,
Rescue Alex within 10 turns,Спасите Алекса за 10 ходов,
Defeat Casamir,Одолейте Казамира,
Defeat Lysander,Одолейте Лисандера,
Defeat Zanatus,Одолейте Занатуса,
Capture the Enemy Base,Захватите вражескую базу,
Lose 5 or more squads,Потерять 5 или больше отрядов,
Home Base is captured,Потерять главную базу,
Survive for 30 Rounds OR,Продержитесь 30 раундов ИЛИ,
Lose all squads,Потеряйте все отряды,
Shattered,Паника,
Shaken,Дрогнули,
Fearful,Низкий,
Fair,Средний,
Good,Хороший,
Excellent,Превосходный,
Fearless,Бесстрашие,
Meteor,Метеор,
"Meteor: Deal 25% of Max HP of all Units in all enemy Squads in a cross-shaped area of effect, cannot damage beyond 75% Max HP lost, does not affect bosses.","Метеор: наносит 25% от макс. ОЗ всех юнитов во всех вражеских отрядах в крестообразной области. Не наносит урона, если у юнита менее 25% ОЗ, не действует против боссов.",
Teleport,Телепорт,
Teleport: Instantly move a friendly Squad to any valid tile within 5 tiles of that Squad’s current location. Does not consume any move points or actions.,Телепорт: мгновенно переносит дружественный отряд на любую доступную клетку в радиусе 5 клеток от текущего местоположения отряда. Не тратит очки движения и не считается действием.,
Exemplar,Экземплар,
Exemplar: A friendly Squad resists 50% of all damage for one entire player phase + enemy phase. Enemies will always target this Squad.,Экземплар: дружественный отряд получает на 50% меньше урона в до конца стадии. Враги будут атаковать только этот отряд.,
Terror,Ужас,
Terror: Inflicts massive Morale damage to every enemy Squad within a 3x3 tile area of effect.,Ужас: наносит огромный удар по боевому духу всех вражеских отрядов в зоне размером 3 на 3 клетки.,
Blessing,Благословение,
"Blessing: Refresh a friendly Squad, giving them another full turn during the same player phase.","Благословение: полностью восстанавливает очки хода дружественному отряду, что позволяет выполнить еще одно действие в течение стадии игрока.",
Basic Infantry. Front line warrior who can provide cover. Has the most options for growth into other unit types.,Базовая пехота. В передней колонне защищают стоящих позади союзников. Больше всего вариантов развития среди всех классов юнитов.,
Fighter,Боец,
"A child dragon with basic fire breath. In time, will mature in a formidable adult.",Детёныш дракона с обычным огненным дыханием. Со временем превращается в опасного взрослого дракона.,
Drakeling,Драклинг,
"A young adult dragon, breathes fire in a wide swath. Can specialize into more advanced dragons.",Молодой взрослый дракон. Атакует по дуге огненным дыханием. Способен эволюционировать в продвинутого дракона.,
Dragon,Дракон,
A mature dragon specializing in powerful fire breath. May learn how to become a Red Dragon Rider.,Взрослый дракон с мощным огненным дыханием. Можно обучить для создания всадника на красном драконе.,
Red Dragon,Красный дракон,
A mature dragon specializing in powerful lightning breath. May learn how to become a Blue Dragon Rider.,Взрослый дракон с мощным дыханием молнией. Можно обучить для создания всадника на синем драконе.,
Blue Dragon,Синий дракон,
A mature dragon specializing in powerful ice breath. May learn how to become a Silver Dragon Rider.,Взрослый дракон с мощным ледяным дыханием. Можно обучить для создания всадника на серебряном драконе.,
Silv. Dragon,Сереб. дракон,
"The ultimate evolution of the Red Dragon, it can now take to the skies and deliver devastating fire breath.",Высшая форма красного дракона. Обрушивает с небес смертельные струи огненного дыхания.,
Red D.Rider,Всадник на крас. драк.,
"The ultimate evolution of the Blue Dragon, it can now take to the skies and deliver devastating lightning breath.",Высшая форма синего дракона. Обрушивает с небес смертельные струи дыхания молнией.,
Blue D.Rider,Всадник на син. драк.,
"The ultimate evolution of the Silver Dragon, it can now take to the skies and deliver devastating ice breath.",Высшая форма серебряного дракона. Обрушивает с небес смертельные струи ледяного дыхания.,
Silv. D.Rider,Всадник на сереб. драк.,
"Basic Infantry. Can be part of a Light Squad, who specialize in rough terrain and ambushes.","Базовая пехота. Могут состоять в лёгких отрядах, которые быстро перемещаются на пересечённой местности и умеют устраивать засады.",
Militia,Ополченец,
Basic Archery unit. Can attack from 2 tiles away.,Базовый лучник. Могут атаковать с расстояния 2 клеток.,
Bowman,Лучник,
Basic Support unit. Able to provide healing in and out of battle.,"Базовый юнит поддержки. Могут лечить как во время, так и вне боя.",
Medic,Лекарь,
"Front line Heavy Infantry. Heavily armored, and protects back lines with Cover.","Тяжёлая пехота для передовой. Отличаются прочной бронёй, обеспечивают прикрытие стоящим позади союзникам.",
Soldier,Солдат,
Front line Heavy Infantry. Polearms are strong against Cavalry.,Тяжёлая пехота для передовой. Древковое оружие эффективно против кавалерии.,
Spearman,Копейщик,
"Basic Heavy Cavalry. Heavily armored, and protects back lines with Cover.","Базовая тяжёлая кавалерия. Отличаются прочной бронёй, обеспечивают прикрытие стоящим позади союзникам.",
Cavalier,Кавалерист,
Heavy Infantry. Deals Striking damage. Gets a bonus to Magic Defense from a portion of her Armor.,Тяжёлая пехота. Наносит дробящий урон. Получают бонус к защите от магии в зависимости от прочности своей брони.,
Skirmisher,Застрельщик,
"Basic Light Cavalry. Can Ambush, and is strong against enemy Cavalry.",Базовая лёгкая кавалерия. Могут устраивать засады. Эффективны против вражеской кавалерии.,
Scout,Разведчик,
"Specialized Light Infantry. On offense, will execute a Stealth attack, striking the back row.",Специализированная лёгкая кавалерия. В нападении проводят скрытную атаку по врагам в задней колонне.,
Rogue,Разбойник,
Standard Archery unit. Can attack from 2 tiles away. Has the potential to upgrade to a class with 3 tile range.,Стандартный лучник. Могут атаковать с расстояния 2 клеток. При улучшении атакуют с расстояния 3 клеток.,
Archer,Опытный лучник,
"Specialized Archery unit. Can attack from 2 tiles away, and gets a bonus against Heavy troops.",Специализированный лучник. Могут атаковать с расстояния 2 клеток. Получают бонус в бою против тяжёлых юнитов.,
Crossbowman,Арбалетчик,
"Light Cavalry Archer. Can fire from 2 tiles, ambush, and hit-and-run.","Лёгкий лучник-кавалерист. Могут атаковать с расстояния 2 клеток, устраивать засады и использовать навык Бей и беги.",
Horsebow,Конный лучник,
"Standard Light Infantry. Very strong attack, but sacrifices almost all defense.","Стандартная лёгкая пехота. Отличаются очень мощной атакой, но за счёт очень слабой защиты.",
Swordfighter,Мечник,
Basic Magician unit. Launches a Fire elemental magic attack with a small area effect.,Базовый маг. Атакуют стихией огня по маленькой площади.,
Apprentice,Ученик,
"Standard Support unit. Able to provide healing in and out of battle, with much greater ability than the Medic.","Стандартный юнит поддержки. Могут лечить как во время, так и вне боя, но намного превосходят лекарей.",
Priestess,Жрица,
Specialized Magician unit. Launches a Dark elemental magic attack that has a chance to stun and/or daze the target.,Специализированный маг. Атакуют стихией Тьмы с шансом оглушить или ошеломить врагов.,
Siren,Сирена,
Powerhouse defensive Heavy Infantry. Uses a polearm and has a special defense against Firearms attacks.,Искусная тяжёлая пехота с мощной защитой. Используют древковое оружие и эффективно защищаются от огнестрельных атак.,
Sentinel,Страж,
Powerhouse Heavy Infantry. Executes a double-attack against a single enemy.,Искусная тяжёлая пехота. Могут дважды атаковать одного врага.,
Champion,Герой,
"Specialized Heavy Infantry. Attack hits a wide-arc, striking the units adjacent to the target in the same row.","Специализированная тяжёлая пехота. Атакуют размашистыми ударами, которые наносят урон врагам в том же ряду, что и выбранный враг.",
Zweihander,Цвайхендер,
"Specialized Heavy Infantry. The ultimate Polearm attacker, whose attacks strike the units behind the target.",Специализированная тяжёлая пехота. Лучше всего владеют древковым оружием. Наносят урон юнитам позади выбранного врага.,
Centurion,Центурион,
Versatile Heavy Infantry. Possesses the Polearm skill of a Spearman with the bow attacks of an Archer. 35% More base Evasion than other Heavy classes.,"Универсальная тяжёлая пехота. Владеют древковым оружием, как копейщика, а также владеют луком, как опытные лучники. На 35% выше уклонение, чем у всех других тяжёлых юнитов.",
Samurai,Самурай,
"Specialized Heavy Infantry. Deals Striking damage. Gets a bonus to Magic Defense from a portion of her Armor, and deals extra damage to Magicians. Can heal self or ally under 50% HP once per battle.",Специализированная тяжёлая пехота. Наносят дробящий урон. Получают бонус к защите от магии в зависимости от прочности своей брони. Также наносят повышенный урон магам. Один раз за бой могут исцелить себя или любого союзника при падении ОЗ ниже 50%.,
Paladin,Паладин,
Powerhouse Heavy Cavalry. Has a special defense against Archery attacks.,Искусная тяжёлая кавалерия. Отличаются повышенной защитой от атак всех лучников.,
Knight,Рыцарь,
"Versatile Heavy Cavalry. Brings the healing ability of the Hospitaller, but can now attack in battle and execute Charge attacks.","Универсальная тяжёлая кавалерия. Лечат, как госпитальеры, но способны также атаковать в бою и атаковать с разбега.",
Valkyrie,Валькирия,
"Specialized Light Infantry. Can Ambush, and gets a significant SKL bonus while fighting in Rough terrain, and can fire a precision bolt.","Специализированная лёгкая пехота. Могут устраивать засады, получают значительный бонус к НАВ на пересечённой местности, также способны точно атаковать болтами.",
Ranger,Рейнджер,
"Specialized Light Infantry. On offense, will execute a Stealth attack, striking the back row, with much greater ability than the Rogue.","Специализированная лёгкая пехота. В нападении проводят скрытную атаку по врагам в задней колонне, но намного превосходят разбойников.",
Assassin,Ассасин,
"Powerhouse Light Cavalry. Can Ambush, and is strong against enemy Cavalry, with much greater ability than the Scout.","Искусная лёгкая кавалерия. Могут устраивать засады и эффективны против вражеской кавалерии, но намного превосходят разведчиков.",
Hussar,Гусар,
Powerhouse Archery unit. Can attack from up to 3 tiles away.,Искусный лучник. Могут атаковать с расстояния 3 клеток.,
Warbow,Мастер-лучник,
"Powerhouse Light Cavalry Archer. Can fire from 2 tiles, ambush, and hit-and-run, with much greater ability than the Horsebow.","Искусная лёгкая кавалерия. Могут атаковать с расстояния 2 клеток, устраивать засады и использовать навык Бей и беги, но намного превосходят конных лучников.",
Raider,Налётчик,
"Ultimate Support unit. Able to provide healing in and out of battle, with the greatest possible proficiency.","Лучший юнит поддержки. Могут максимально эффективно лечить как во время, так и вне боя.",
Templar,Храмовник,
"Specialized Support unit. Able to provide healing in and out of battle, with the mobility of Cavalry.","Специализированный юнит поддержки. Могут лечить как во время, так и вне боя, при этом двигаются как кавалерия.",
Powerhouse Magician unit. Launches a powerful Fire elemental magic attack that hits the entire target Row.,"Искусный маг. Проводят мощную магическую атаку стихией огня, которая способна поразить всех врагов в одном ряду.",
Fire Mage,Маг огня,
"Specialized Magician unit. Launches an Ice elemental magic attack that hits a large area of effect, and inflicts Chill on targets.","Специализированный маг. Проводят мощную магическую атаку стихией льда, которая способна вызывать Охлаждение у врагов.",
Ice Mage,Маг льда,
Powerhouse Magician unit. Launches a powerful Lightning elemental magic attack that hits the entire target Column.,"Искусный маг. Проводят мощную магическую атаку стихией молнии, которая способна поразить всех врагов в одной колонне.",
Lit.Mage,Маг молнии,
"Specialized Magician unit. Launches a Dark elemental magic attack that hits a large area of effect, with a chance to inflict Stun and Daze.",Специализированный маг. Атакуют стихией Тьмы по большой площади с шансом оглушить или ошеломить врагов.,
Sorceress,Чародейка,
Standard Firearms unit. Attacks are extremely powerful and bypass almost all Armor.,Стандартный огнестрельный юнит. Атаки очень мощные и практически полностью игнорируют броню.,
Gunner,Стрелок,
Specialized Firearms unit. Attacks are extremely powerful and bypass almost all Armor. Has the mobility of Cavalry.,Специализированный огнестрельный юнит. Атаки очень мощные и практически полностью игнорируют броню. Двигаются как кавалерия.,
Dragoon,Драгун,
Specialized Firearms unit. Can only attack on offense. Launches a powerful barrage from up to 3 tiles away.,Специализированный огнестрельный юнит. Атакует только в нападении. Стреляем мощными залпами с расстояния до 3 клеток.,
S. Cannon,Осад. пушка,
Powerhouse offensive Light Infantry. Executes a powerful double-attack.,Искусная лёгкая пехота с мощной атакой. Проводят мощную двойную атаку.,
Swordmaster,Мастер-мечник,
Powerhouse offensive Light Infantry. Executes a powerful double-attack. Attacks with a bow at 2+ range.,Искусная лёгкая пехота с мощной атакой. Проводят мощную двойную атаку. Также могут атаковать из лука с расстояния 2 клеток.,
Blademaster,Повелитель мечей,
Diana's empowered form.,Божественная форма Дианы.,
Titan,Титан,
"Diana's smaller form, with the same abilities as the Titan.","Обычная форма Дианы. Обладает теми же способностями, что и Титан.",
What would I do if I abandon my destiny?,"Кем я стану, если оставлю свою судьбу?",
You're not getting rid of me that easily.,Ты от меня так просто не отделаешься.,
"Hey, come on! I never abandon my friends.","Эй, ты что! Я никогда не оставлю своих друзей.",
"No, not again... let me prove myself to you!","Нет, только не опять... позволь мне доказать свою полезность!",
Early retirement ain't for me quite yet.,Ранний уход на пенсию не по мне.,
"Yeah, right. What would you do without this face?","Ну да, конечно. И что ты будешь без меня делать?",
I will die long before considering surrender.,"Я скорее умру, чем подумаю о том, чтобы сдаться.",
What... why? Don't leave me alone out here!,Что?.. Ты чего?! Не бросай меня тут!,
You must realize our fates are inexorably linked.,Пойми: все судьбы сплетены невидимыми нитями.,
I have worked far too hard to quit now.,Все мои старания не пойдут насмарку!,
Raskuja is to be fulfilling his contract.,Раскуджа выполнять свой контракт.,
The Avatar of Donar finds me unworthy...?,"Аватар Донара считает, что я не вхожу в число достойных?..",
Ha! Please. You wouldn't want me as an enemy.,Ха! Не смеши меня. Ты точно не захочешь сражаться со мной.,
Is this some kind of childish joke?,"Это что, какая-то детская шутка?",
All I have left is to kill the demon.,Мне осталось лишь прикончить демона.,
\\M[tactic_normal.png]Normal Attack,\\M[tactic_normal.png]Обычная атака,
"\\M[tactic_normal.png]Normal Attack\\LINEBalanced attack, no special bonuses or penalties",\\M[tactic_normal.png]Обычная атака\\LINEСбалансированная атака без особых бонусов или штрафов,
"\\M[tactic_normal.png]Normal Attack\\LINEBalanced attack, no special bonuses or penalties.",\\M[tactic_normal.png]Обычная атака\\LINEСбалансированная атака без особых бонусов или штрафов.,
\\M[tactic_forcesurrender.png]Force Surrender,\\M[tactic_forcesurrender.png]Принуждение к сдаче,
"\\M[tactic_forcesurrender.png]Force Surrender\\LINEAttempt to negotiate a surrender.  If the attempt fails, enter combat and lose your first turn in the next combat while taking 15% additional damage on first turn.  Enemies defeated in next combat have chance to surrender.","\\M[tactic_forcesurrender.png]Принуждение к сдаче\\LINEПопытаться принудить врага сдаться.  В случае провала начинается бой, в котором вы пропускаете первый ход и получаете на 15% больше урона во время первого хода врага.  Но побеждённые во время этого боя враги имеют шанс сдаться.",
"\\M[tactic_forcesurrender.png]Force Surrender\\LINEAttempt to negotiate a surrender.  If the attempt fails, enter combat and lose your first turn in the next combat.  Enemies defeated in next combat have chance to surrender.","\\M[tactic_forcesurrender.png]Принуждение к сдаче\\LINEПопытаться принудить врага сдаться.  В случае провала начинается бой, в котором вы пропускаете первый ход.  Но побеждённые во время этого боя враги имеют шанс сдаться.",
\\M[tactic_cautious.png]Cautious,\\M[tactic_cautious.png]Осторожная,
\\M[tactic_cautious.png]Cautious\\LINESpread damage between targets as much as possible.  Deal -15% and take -25% damage until the start of next Player Phase.,\\M[tactic_cautious.png]Осторожная\\LINEАтакует всех врагов максимально равномерно.  Ваш отряд наносит –15% урона и получает –25% урона до начала следующей стадии игрока.,
\\M[tactic_cautious.png]Cautious\\LINESpread damage between targets as much as possible.  Deal -15% and take -35% damage until the start of next Player Phase.,\\M[tactic_cautious.png]Осторожная\\LINEАтакует всех врагов максимально равномерно.  Ваш отряд наносит –15% урона и получает –35% урона до начала следующей стадии игрока.,
\\M[tactic_aggressive.png]Aggressive,\\M[tactic_aggressive.png]Агрессивная,
\\M[tactic_aggressive.png]Aggressive\\LINETarget weak and low HP enemies.  Deal +15% damage and take +35% damage until the start of next Player Phase.,\\M[tactic_aggressive.png]Агрессивная\\LINEВ первую очередь атакует слабых врагов и врагов с низким ОЗ.  Наносит +15% урона и получает +35% урона до начала следующей стадии игрока.,
\\M[tactic_aggressive.png]Aggressive\\LINETarget weak and low HP enemies.  Deal +25% damage and take +35% damage until the start of next Player Phase.,\\M[tactic_aggressive.png]Агрессивная\\LINEВ первую очередь атакует слабых врагов и врагов с низким ОЗ.  Наносит +25% урона и получает +35% урона до начала следующей стадии игрока.,
\\M[tactic_leader.png]Target Leader,\\M[tactic_leader.png]Устранить лидера,
"\\M[tactic_leader.png]Target Leader\\LINEAttack Leader or anyone blocking Leader.  +35% hit rate, -25% evasion until the start of next Player Phase.","\\M[tactic_leader.png]Устранить лидера\\LINEАтакует лидера и юнитов, которые блокируют лидера.  +35% к точности, –25% к уклонению до начала следующей стадии игрока.",
"\\M[tactic_leader.png]Target Leader\\LINEAttack Leader or anyone blocking Leader.  +35% hit rate, -10% evasion until the start of next Player Phase.","\\M[tactic_leader.png]Устранить лидера\\LINEАтакует лидера и юнитов, которые блокируют лидера.  +35% к точности, –10% к уклонению до начала следующей стадии игрока.",
\\M[tactic_normal.png]Balanced,\\M[tactic_normal.png]Сбалансированная,
Buy,Купить,
OR,ИЛИ,
Sell,Продать,
Info,Подробности,
Owned,В наличии,
Buying: ,Покупка: ,
Selling: ,Продажа: ,
+2 Squad Capacity,+2 к размеру отряда,
-25% Dark Resist,–25% к сопротивлению Тьме,
"Leader gets extra turn, followers deal","Лидер получает +1 ход, а последователи получают",
 , ,
-25% damage,–25% к урону,
+25% Damage dealt to larger Squads,–25% к урону крупным отрядам,
-25% Damage dealt to smaller Squads,–25% к урону малым отрядам,
+5% Evasion,+5% к уклонению,
+50% Damage to Dragons,+50% к урону по драконам,
+15% Damage to Cavalry,+15% к урону по кавалерии,
+10% Dark Resist,+10% к сопротивлению Тьме,
-100% Magic,–100% к магии,
Squad can Ambush,Этот отряд может устраивать засады,
+25% Damage dealt to Boss Squads,+25% к урону против босс-отрядов,
Only applies to Human targets,Действует только против людей,
+20% Healing Power in combat,+20% к лечению в бою,
+15% Hit Rate,+15% к точности,
+5 Squad Capacity,+5 к размеру отряда,
Archery attacks bypass wall and,Атаки из луков игнорируют бонусы,
woods defenses,от стен и леса,
Squad deals +20% damage when,Этот отряд наносит +20% урона,
attacking from wall to non-wall,при атаке со стены по целям не на стене,
+10% Out of combat Healing Power,+10% к лечению вне боя,
+25% Dark Resist,+25% к сопротивлению Тьме,
+3 Squad Capacity,+3 к размеру отряда,
-15% damage taken on defense,–15% к получаемому урону в защите,
No movement penalty in Woods,Нет штрафа к движению по лесу,
+3% Evasion,+3% к уклонению,
-25% damage taken from Swords,–25% к получаемому урону от мечей,
-35% Damage taken from Archery,–35% к получаемому урону от луков,
-35% Damage taken from Firearms,–35% к получаемому урону от огнестрельного оружия,
-10% Damage taken from Dragons,–10% к получаемому урону от драконов,
Gain STR for every point of MAG,Прирост СИЛ за каждое очко МАГ,
MAG is set to zero,МАГ обнуляется,
-15% Damage taken from Firearms,–15% к получаемому урону от огнестрельного оружия,
-15% Damage taken from Archery,–15% к получаемому урону от луков,
Front row takes -25% damage,Передняя колонна получает –25% урона,
Squad is locked at 'Fearful' Morale,У отряда постоянно низкий боевой дух,
Defeated enemies Surrender if able,"Побеждённые враги сдаются, если могут",
+7% Evasion,+7% к уклонению,
Immune to Magical Stun effect,Иммунитет к оглушению от магии,
Melee attackers can attack up walls,Атакующие ближнего боя могут атаковать снизу юниты на стенах,
Squad is more likely to be attacked,Этот отряд с большей вероятностью атакуют враги,
"+2 Move Points, but starts with","+2 очка движения, но в изначально",
less Morale,боевой дух ниже,
+4 Squad Capacity,+4 к размеру отряда,
One free heal per battle,Одно бесплатное лечение за бой,
33% Chance to have a second turn,33% шанс на второй ход,
5% Hit and Evasion for the entire,"5% точности и уклонения для всей армии,",
Army while Squad is deployed,пока этот отряд развёрнут,
Gain double XP and CP from combat,В 2 раза больше ОПТ и ОК за бои,
Gain HP from kills,ОЗ за убийства,
Take 10% HP damage per Phase,–10% ОЗ в каждой стадии,
Double item drop rate from battles,В 2 раза выше шанс получить предмет за бой,
Immune to Critical Hits,Иммунитет к крит. урону,
-1 Squad Movement,–1 к движению отряда,
Always attack first when defending,В защите всегда атакует первым,
Does not work when being Ambushed,"Не действует, если попал в засаду",
Only works 3 times per phase,Действует только 3 раза за стадию,
Deal +25% damage on defense,Наносит +25% урона в защите,
Greatly reduce chance to be,Значительно нише шанс,
critically hit,получить крит. урон,
Inflict Chill on enemy Squad,Вызывает Охлаждение у вражеского отряда,
at start of battle,в начале боя,
Squad heals 10% each player phase,Лечит 10% здоровья отряда за каждую стадию игрока,
Squad ignores enemy defense,Отряд игнорирует вражескую защиту,
Squad takes no damage from,Отряд не получает урона,
hazard tiles,на клетках с опасностями,
-25% Fire Damage taken,Получает –25% урона от огня,
Squad ignores Zones of Control,Отряд игнорирует зоны контроля,
+10% Evasion,+10% к уклонению,
Lucky Trait to all units in Squad,Все юниты в отряде получают черту «Везение»,
Squad is now Flying movement,Этот отряд теперь летает,
Squad Threat is reduced to 0,Уровень угрозы отряда снижен до 0,
Squad can now move after actions,Отряд теперь может двигаться после выполнения действия,
post-action move if already Cavalry,"Движется после действия, если изначально кавалерия",
+50% HP of summoned Undead,+50% от ОЗ призванной нежити,
Squad is immune to Stealth Attacks,На отряд не действуют скрытные атаки,
Gain SKL for every point of MAG,Повышает НАВ за каждое очко МАГ,
Light Infantry costs -2 Capacity,Лёгкая пехота отнимает –2 от размера отряда,
Cost:,Стоимость:,
Unlock this tech?,Изучить эту технологию?,
Obtain: ,Получишь: ,
Sell For: ,Продать за: ,
Set the main volume level,Настройка общей громкости,
Set the music volume level,Настройка громкости музыки,
Set the volume level for sound effects,Настройка громкости звуковых эффектов,
Set the volume for voice clips,Настройка громкости голосов,
Cursor moves quickly on the tactical map,Cursor moves quickly on the tactical map,
Show text all at once,Показывать весь текст целиком,
Enable Tutorials,Включить обучение,
Allow mouse navigation,Включить управление мышью,
Highlight target tile for mouse navigation,"Подсвечивать место, куда указывает курсор",
Toggle Fullscreen,Переключение полноэкранного режима,
Change the difficult level of enemies\NEWLINEThis will affect all enemy stats,Изменить уровень сложности\NEWLINEЭто повлияет на характеристики врагов,
Leave the current chapter\NEWLINEProgress will be reset,Выйти из текущей главы\NEWLINEПрогресс будет потерян,
Leave the current chapter\NEWLINEEnemies will respawn,Выйти из текущей главы\NEWLINEВсе враги возродятся,
Exit the game\NEWLINEUnsaved progress will be lost,Выйти из игры\NEWLINEНесохранённый прогресс будет потерян,
Restore settings to default,Восстановить настройки по умолчанию,
Set the battle speed,Настройка скорости боя,
Toggle viewing battle scene,Настройка отображения боёв,
Non-story characters incapacitated after a mission are lost forever.\NEWLINETheir resources will be refunded.,Второстепенные персонажи могут погибнуть навсегда.\NEWLINEРесурсы за них вернутся.,
"Enables passive XP, CP, and LDR growth for units that are far behind.\NEWLINEApplies to deployed squads for story missions, all units for Arena.","Включает пассивный рост ОПТ, КО и ЛДР сильно отстающих юнитов.\NEWLINEДействует на все развёрнутые отряды в сюжетных миссиях, а также на все юниты на арене.",
Select from preset window size options,Выбор заданных настроек размера окна,
Allows the game client to be resized by using mouse.\NEWLINERequires Restart.,Позволяет изменять размер окна игры с помощью мыши.\NEWLINEТребуется перезапустить игру.,
Precisely scales pixels at integer multiples.\NEWLINERequires Restart.,Включает точное целочисленное масштабирование пикселей.\NEWLINEТребуется перезапустить игру.,
"If Integer Scaling is enabled, upscales from the closest integer multiple.\NEWLINERequires Restart",При включенном целочисленном масштабировании действует апскейлинг от ближайшего целого кратного.\NEWLINEТребуется перезапустить игру.,
Uses linear interpolation to upscale in-game images where possible.\NEWLINE(Recommended: Enabled) Requires Restart,При возможности использует линейную интерполяцию для масштабирования графики в игре.\NEWLINE(Рекомендовано включить) Требуется перезапустить игру.,
Workaround for graphics drivers that don't sync texture access.\NEWLINEUse if letters fail to print sometimes.,"Подходит, если драйвер не поддерживает синхронизацию.\NEWLINEНапример, может не отображаться текст.",
"Enables framebuffer blittling if the driver is capable of it.\NEWLINEImages may render slightly faster, but incompatible with certain graphics cards. (Default: Disabled)","Включает блиттинг буфера кадра в совместимых драйверах.\NEWLINEМожет ускорить рендеринг графики, но действует не на всех видеокартах. (По умолчанию отключено)",
LEVEL UP!,УРОВЕНЬ ПОВЫШЕН!,
Class Mastery Up!,Мастерство класса повышено!,
Surrender!,Сдача!,
Retreat!,Отступление!,
PROMOTE!,Повышение!,
GOLDEN!,Золотой!,
Trait Learned!,Черта изучена!,
MaxHp up!,Максимум ОЗ повышен!,
Faction,Фракция,
Rank up!,Ранг повышен!,
Loyalty up!,Лояльность повышена!,
Got Proof,Получена награда,
