ENGLISH,RUSSIAN
Class: Hospitaller,Класс: Госпитальер
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Fast\\PARResources Required: 1 Gems, 1 Horse\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Поддержка\\PARТип движения: Быстрый\\PARРесурсов требуется: 1 самоцвет, 1 лошадь\\PARДействия в бою: 1 исцеление самого слабого союзника\\PARОсобенности: Могут использовать ход отряда для лечения юнитов в отрядах на соседних клетках"
Class: Fire Mage,Класс: Огненный маг
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target Row","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Маг\\PARТип движения: Медленный\\PARРесурсов требуется: 2 самоцвета, 1 янтарь\\PARДействия в бою: 1 массовая атака магией огня на расстоянии 1\\PARОсобенности: Наносит полный урон всему ряду"
Class: Ice Mage,Класс: Ледяной маг
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Explosive Ice Magic attacks at 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target and inflicts the Chill status effect, which significantly lowers enemy SKL for the duration of the battle","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Маг\\PARТип движения: Медленный\\PARРесурсов требуется: 2 самоцвета, 1 янтарь\\PARДействия в бою: 1 массовая атака магией льда на расстоянии 1\\PARОсобенности: Наносит урон рядом с целью в ромбовидной области и накладывает эффект Охлаждение, который значительно снижает НВК врагов на весь бой"
Class: Lightning Mage,Класс: Маг молнии
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Column-Piercing Lightning Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target column, has a chance to inflict Daze, which lowers STR for the duration of the battle, or a small chance to inflict Stun, which completely negates one enemy turn","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Маг\\PARТип движения: Медленный\\PARРесурсов требуется: 2 самоцвета, 1 янтарь\\PARДействия в бою: 1 атака молнией по колонне врагов на расстоянии 1\\PARОсобенности: Наносит полный урон всей колонне, есть шанс наложить Ошеломление, которое понижает СИЛ на время боя. Есть небольшой шанс наложить Оглушение, что выводит из строя врага на 1 раунд"
Class: Sorceress,Класс: Чародейка
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Маг\\PARТип движения: Медленный\\PARРесурсов требуется: 2 самоцвет\\PARДействия в бою: 1 массовая атака тёмной магией на расстоянии 1\\PARОсобенности: Наносит урон рядом с целью в ромбовидной площади. Есть шанс наложить Оглушение или Ошеломление. Ошеломление понижает вражескую СИЛ на весь бой, а Оглушение выводит врага из строя на 1 раунд"
Class: Drakeling,Класс: Драклинг
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Дракон\\PARТип движения: Нормальный\\PARРесурсов требуется: -\\PARДействия в бою: 2 атаки драконьим дыханием на расстоянии 1\\PARОсобенности: Урон от драконьего дыхания в равной степени зависит от СИЛ и от МАГ.
"Attack Types, Armor, Bonuses and Effectiveness","Типы атаки, броня, бонусы и эффективность"
"Warfare in the battlefields of Symphony of War are based around Armor. How to get more of it, or how to bypass it. Armor is advanced enough in this era that it is very effective against traditional attacks from melee weapons and bows, but offer little protection against Firearms and Magic.\\PARThe importance of Armor, which is highest in Heavy Infantry and Heavy Cavalry, is clearly represented in the militaries of Tahnra, who by and large invest a majority of their army sizes into Heavy units, with Archery being a common suppliment.\\PARA clever commander can easily think of ways to shake up the warfare meta-game of modern Tahnra, be it with ambushes by Light Squads, shocking Cavalry Charge attacks, or brute forcing through Armor with Firearms, Magicians, or Dragons.\\PARLight and Medium armor classes comprise everything not part of the Heavy Infantry or Heavy Cavalry Unit Types. Light Infantry, Light Cavalry, Archery, and Firearms Units are Medium Armor, while Support and Magicians are Light Armor. There are no special modifiers for attacks against these classes. They simply have significantly less Armor value than Heavy units.","Сражения в Симфонии Войны строятся вокруг брони. Точнее вокруг двух вопросов главных вопросов — как её увеличить или обойти. В эту эпоху броня достаточно технологична, чтобы защищать от традиционного оружия вроде меча или стрел, но она слабо защищает от магии и огнестрельного оружия.\\PARВажность брони чётко прослеживается в вооружённых силах мира Танра, где большинство отрядов состоят из тяжёлой пехоты и тяжёлой кавалерии, а лучники являются лишь вспомогательными войсками.\\PARУмелый командир легко может повернуть ход боя с помощью засады из лёгкой пехоты, ошеломляющего кавалерийского наскока или грубой силы в виде отрядов с огнестрельным оружием или драконов, пробивающих любую броню.\\PARК юнитам со слабой или средней бронёй относятся все классы, кроме тяжёлой пехоты и тяжёлой кавалерии. Лёгкая пехота, лёгкая кавалерия, лучники и юниты с огнестрельным оружием имеют среднюю броню, а поддержка и маги — лёгкую броню. Специальных модификаторов для атак против этих классов не существует. Просто у них значительно меньше брони, чем у тяжелобронированных юнитов."
Movement Types,Типы движения
"Squad movement is derived from the units within it. Majority movement type of the squad almost always determines Squad movement type. In the case of a tie, it follows a hierarchy. Flying > Slow > Normal > Fast. Meaning, a tie between Flying units and other movement types will always create a Flying Squad. (Some units cancel flying movement. These include any Cavalry, Siege Cannons, or non-flying Dragons.) Conversely, a tie between Fast movement unit types and all other types will never create a Fast Movement type Squad.\\PARThis is the baseline Movement and terrain costs, which can and will be modified by a variety of factors, such as Squad Unit Type, Leadership aspects and traits, and Artifact aspects.","Движение отряда зависит от юнитов в его составе. Тип движения большей части отряда чаще всего определяет тип движения отряда. При равном количестве юнитов с разным типом движения применяется следующая иерархия. Летающие > Медленные > Нормальные > Быстрые. То есть, при равном количестве летающих и других юнитов всегда получится летающий отряд. (Кроме нескольких исключений — кавалерия, осадные пушки или нелетающие драконы). И наоборот, отряд с равным количеством быстрых и прочих юнитов никогда не будет с быстрым типом движения.\PARЭто основы движения, на которые влияют ещё множество факторов — местность, тип отряда, лидерство, артефакты и черты юнитов."
Unit Types,Типы юнитов
"Squad Type is derived from the units within it. Majority Unit type of the squad almost always determines Squad Type. In the case of a tie, it follows a hierarchy. Normal Infantry > Normal Cavalry > Light > Light Cavalry. Meaning, a tie between Normal units and other unit types will always create a Normal Infantry Squad. Conversely, a tie between Light Cavalry unit types and all other types will never create a Light Cavalry Squad Type.\\PARSquad Type's primary function is to determine which Squads get the significant benefit of being considered a 'Light' Type Squad, which grants the ability to conduct Ambushes, and lowers Movement cost of Rough terrain to 2.4 from 3.\\PARAmbushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd.\\PAR'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","Тип отряда почти всегда определяется большинством состоящих в нём юнитов. При равном количестве юнитов разного типа действует следующая иерархия. Обычная пехота > Обычная кавалерия > Лёгкая пехота > Лёгкая кавалерия. То есть, при равном количестве обычных юнитов и остальных всегда получается отряд обычной пехоты. И наоборот, при равном количестве лёгкой кавалерии и других типов юнитов никогда не получится отряд лёгкой кавалерии.\\PARОпределять тип отряда нужно в основном для того, чтобы понимать, относится ли отряд к «лёгким», то есть способен ли он устраивать засады и снижать штраф за движение по пересечённой местности до 3 до 2,4.\\PARЗасады — это очень эффективное средство борьбы с неприятелем. Для этого ваш лёгкий отряд должен начать движение с леса, холмов, болота или из города и атаковать вражеский отряд на такой же местности либо на соседней клетке с ней. Попавшие в засаду юниты не могут атаковать в первом раунде боя, только во втором.\\PARОбычная и лёгкая кавалерия также могут применять тактику «Бей и беги». Это позволяет им после выполнения действия (атаки, лечения и т. п.) переместиться ещё на половину своих исходных очков движения."
Learnable Trait List (Unit level),Черты (юниты)
"These Traits are always active and apply only to the Unit. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","Эти черты всегда активны и влияют только на сам юнит. Есть и другие черты, но они привязаны к классу или к определённому персонажу. Все эти черты можно изучить с помощью книг навыков, или юнит уже может обладать ими при найме.\\PAR"
Learnable Trait List (Leader level),Черты (лидеры)
"These Traits can be found on any Unit, but are only active if that Unit is a Squad Leader. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","Эти черты могут быть у любого юнита, но действовать они будут, только если юнит лидер отряда. Есть и другие черты, но они привязаны к классу или к определённому персонажу. Все эти черты можно изучить с помощью книг навыков, или юнит уже может обладать ими при найме.\\PAR"
Loyalty,Лояльность
"Determines Capacity cost. Only applies to followers, not leaders. Mercenaries start with the lowest loyalty, for example. Loyalty is gained over time through combat experience and capturing objectives.","Определяет сколько юнит будет вычитать из РЗМР отряда. На лидеров никак не влияет, только на обычных членов отряда. Наёмники начинают с самой низкой лояльностью. Лояльность повышается со временем благодаря боевому опыту и захвату объектов."
Threat Rating,Уровень угрозы
"An overall rating of the Threat level of your Units and Squads. Affects enemy decision making - they are less likely to target Squads with higher Threat. Also affects Surrender chance. If your Threat Rating is lower than the Squad being targeted, they will not Surrender.","Общий уровень угрозы ваших юнитов и отрядов. Влияет на решения врага, который с большей вероятностью атакует отряды с наименьшим уровнем угрозы. Также влияет на шансы сдачи. Если рейтинг угрозы вашего отряда меньше, чем вражеского, то враг не сдастся."
Block (formation),Блок (формация)
"All units block allies from melee attacks when they are anywhere in the formation behind the blocking unit. Note, this is reversed for stealth/back attacks. The scope of blocking includes tiles in the same column, OR in the half-step columns directly above and below the blocking unit. Non-melee attacks are exempt from being blocked.","Блокирующие юниты в ближнем бою блокируют атаки на противников, расположенных позади них. Это не касается скрытных атак/атак с тыла. Область блокировки включает в себя клетки в той же колонне позади блокирующего юнита ИЛИ полклетки сверху и снизу от него. Атаки дальнего боя не блокируются."
Cover (formation),Прикрытие (Формация)
"Heavy Infantry, Heavy Cavalry, Light Infantry, Light Cavalry, and Dragons can Cover allies based on formation. Being 'covered' reduces damage taken. The area/range of effect is the same as Blocking, but the scope or magnitude of the damage reduction varies. Heavy units confer more damage reduction than light units. The closer the proximity to the Covering unit, the greater the damage reduction. Cover can 'stack' if covered by more than one unit.","Тяжёлая пехота, тяжёлая кавалерия, лёгкая пехота, лёгкая кавалерия и драконы могут прикрывать союзников, находящихся позади них. Прикрываемые юниты получают меньше урона. Область прикрытия та же, что и при блокировании, но процент поглощения урона отличается. Тяжёлые юниты принимают на себя больше урона, чем лёгкие. Чем ближе друг к другу находятся прикрывающий и прикрываемый юниты, тем больше урона будет поглощено. Эффект от прикрытия может складываться, если юнит прикрывают несколько союзников."
Capacity,Размер отряда
"Squad Capacity determines how many units and artifacts can comprise a squad. It is derived directly from the LDR stat of the Squad Leader. The default capacity cost of a unit is 10, and is modified by loyalty traits, or 'captain' leader traits. The cost of new units entering a squad increases to a baseline of 12 for the 6th unit, 14 for the 7th unit, 16 for the 8th unit, and 18 for the 9th unit.","Размер отряда определяет то, сколько юнитов и артефактов может быть в вашем отряде. Размер напрямую зависит от значения ЛДР лидера отряда. Базовая стоимость одного юнита равна 10, на это число может влиять лояльность юнита или черты лидера отряда. Стоимость новых членов отряда увеличиваются до 12 за 6-го юнита, 14 за 7-го, 16 за 8-го и 18 за 9-го."
Status Effects,Статусные эффекты
Chill: Greatly reduces SKL for the duration of battle.\\PARDazed: Reduces STR for the duration of battle.\\PARStun: Magical stun inflicted by Sirens and Sorceresses. Prevents action.\\PARShock: Physical stun inflicted by Cavalry Charge.,"Охлаждение: Значительно снижает НВК на весь бой.\\PARОшеломление: Снижает СИЛ на весь бой.\\PARОглушение: Магическое оглушение, накладываемое сиренами и чародейками. Выводит из строя на 1 раунд.\\PARШок: Физическое оглушение, вызываемое кавалерийской атакой с разбега."
(Formation) Row,(Формация) Ряд
"Side to side, from your Squad's perspective. The attack pattern of Zweihanders, Diana, and Fire Mages.","Строй в виде вертикальной линии. Зона атаки цвайхендеров, Дианы и огненных магов."
(Formation) Column,(Формация) Колонна
"Front to back, from your Squad's perspective. The attack pattern of Centurions, and Lightning Mages.",Строй в виде прямой линии от линии фронта к тылу. Зона атаки центурионов и магов молний.
Shuffle,Рокировка
Swap the position of 2 player Squads. This will consume the action of the Squad initiating the Shuffle for that turn.\\PARCavalry and Flying Squads cannot participate in a Shuffle.,"Меняет позиции двух отрядов игрока. Это действие тратит ход отряда, ставшего инициатором рокировки.\\PARКавалерия и летающие отряды не могут участвовать в рокировке."
Ambush,Засада
"Ambushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd, giving you one free attack.","Засады дают огромное преимущество нападающим. Ваши лёгкие отряды должны начать движение с леса, холмов, болот или города и напасть на отряд, находящийся на такой же местности или на соседней клетке с ней. При атаке из засады враг пропускает контратаку в первом раунде."
Surround (Lowering enemy Morale tactic),Окружение (Тактика снижения боевого дух врага)
"You can significantly lower enemy Morale by surrounding an enemy squad, standing directly adjacent. The effect starts when you have 2 squads adjacent, and increases effect when you have 3, and 4 for maximum effect.","Вы можете значительно понизить боевой дух врага, окружив вражеский отряд, если расположите на соседних от него клетках минимум 2 своих отряда. При окружении тремя отрядами эффект усиливается и достигает максимума при окружении 4 отрядами."
Class: Dragon,Класс: Дракон
Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Может быть лидером отряда: Нет\\PARРанг: 2\\PARТип юнита: Дракон\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 атаки драконьим дыханием на расстоянии 1\\PARОсобенности: Урон от драконьего дыхания в равной степени зависит от двух характеристик — СИЛ и МАГ.
Class: Blue Dragon,Класс: Синий дракон
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Может быть лидером отряда: Нет\\PARРанг: 3\\PARТип юнита: Дракон\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 драконьих атаки молниями на расстоянии 1\\PARОсобенности: Урон от драконьего дыхания в равной степени зависит от СИЛ и МАГ.
Class: Silver Dragon,Класс: Серебряный дракон
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Может быть лидером отряда: Нет\\PARРанг: 3\\PARТип юнита: Дракон\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 драконьих атаки льдом на расстоянии 1\\PARОсобенности: Урон от драконьего дыхания в равной степени зависит от СИЛ и МАГ.
Class: Red Dragon,Класс: Красный дракон
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,Может быть лидером отряда: Нет\\PARРанг: 3\\PARТип юнита: Дракон\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 драконьих атаки огнём на расстоянии 1\\PARОсобенности: Урон от драконьего дыхания в равной степени зависит от СИЛ и МАГ.
Class: Blue Dragon Rider,Класс: Всадник на синем драконе
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Может быть лидером отряда: Да\\PARРанг: 4\\PARТип юнита: Дракон\\PARТип движения: Летающий\\PARРесурсов требуется: 2 самоцвета, 2 обсидиана\\PARДействия в бою: 2 драконьих атаки молниями на расстоянии 1\\PARОсобенности: Урон от драконьего дыхания в равной степени зависит от СИЛ и МАГ."
Class: Silver Dragon Rider,Класс: Всадник на серебряном драконе
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Может быть лидером отряда: Да\\PARРанг: 4\\PARТип юнита: Дракон\\PARТип движения: Летающий\\PARРесурсов требуется: 2 самоцвета, 2 обсидиана\\PARДействия в бою: 2 драконьих атаки льдом на расстоянии 1\\PARОсобенности: Урон от драконьего дыхания в равной степени зависит от СИЛ и МАГ."
Class: Red Dragon Rider,Класс: Всадник на красном драконе
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","Может быть лидером отряда: Да\\PARРанг: 4\\PARТип юнита: Дракон\\PARТип движения: Летающий\\PARРесурсов требуется: 2 самоцвета, 2 обсидиана\\PARДействия в бою: 2 драконьих атаки огнём на расстоянии 1\\PARОсобенности: Урон от драконьего дыхания в равной степени зависит от СИЛ и МАГ."
Class: Captain,Класс: Капитан
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains,Может быть лидером отряда: Да\\PARРанг: 2\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется:\\PARДействия в бою: 2 рубящих атаки на расстоянии 1\\PARОсобенности: Получает немного LDR от прироста LDR всей армии.
Class: Lord,Класс: Лорд
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 1 MAG-based Area effect attack, and 1 Slashing attack at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется:\\PARДействия в бою: 1 атака по площади, зависящая от МАГ, и 1 рубящая атака на расстоянии 1\\PARОсобенности: Получает немного LDR от прироста LDR всей армии."
Class: Blademaster,Класс: Повелитель мечей
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required:\\PARBattle Actions: 2 Slashing double-attacks at 1 range OR 1 archery attack at 2 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Лёгкая пехота\\PARТип движения: Лёгкий\\PARРесурсов требуется:\\PARДействия в бою: 2 рубящих двойных атаки на расстоянии 1 или одна атака луками на расстоянии 2\\PARОсобенности: Увеличено уклонение в лесах, городской местности, холмах и болотах."
Class: Exemplar,Класс: Экземплар
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Striking, wide-sweeping at 1 range that strike an entire row\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Тяжёлая пехота\\PARТип движения: Нормальный\\PARРесурсов требуется:\\PARДействия в бою: 2 размашистых удара по всему ряду врагов на расстоянии 1\\PARОсобенности: Сопротивление магическим атакам и драконьему дыханию равно 25% от брони этого юнита.
Class: General,Класс: Генерал
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Cavalry\\PARResources Required:\\PARBattle Actions: 1 moderate heal that affects the entire Squad\\PARSpecial:,Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Поддержка\\PARТип движения: Кавалерия\\PARРесурсов требуется:\\PARДействия в бою: 1 среднее исцеление всего отряда\\PARОсобенности:
Class: Mirage,Класс: Мираж
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 3 Stealth Attacks at 1 range\\PARSpecial:,Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Лёгкая пехота\\PARТип движения: Лёгкий\\PARРесурсов требуется: \\PARДействия в бою: 3 скрытных атаки на расстоянии 1\\PARОсобенности:
Class: Arbalest,Класс: Стреломётчик
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR -25% damage taken from ranged attacks","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Лучник\\PARТип движения: Нормальный\\PARРесурсов требуется: 3 железа\\PARДействия в бою: 2 обычных атаки на расстоянии 1 или 1 атака навесом на расстоянии 2\\PARОсобенности: Атаки игнорируют 25% брони, урон зависит от силы оружия, а не СИЛ. Получает –25% урона от дальнобойных атак"
Class: War Cat,Класс: Боевой кот
"Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls","Может быть лидером отряда: Нет\\PARРанг: 2\\PARТип юнита: Зверь\\PARТип движения: Лёгкий\\\PARРесурсов требуется: \\PARДействия в бою: 2 размашистых рубящих атаки на расстоянии 1\\PARОсобенности: Атаки задевают юниты, стоящие на соседних клетках в одном ряду с выбранным врагом. Также может атаковать через стены"
Class: Behemoth,Класс: Левиафан
"Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls","Может быть лидером отряда: Нет\\PARРанг: 3\\PARТип юнита: Зверь\\PARТип движения: Лёгкий\\\PARРесурсов требуется: \\PARДействия в бою: 2 размашистых рубящих атаки на расстоянии 1\\PARОсобенности: Атаки задевают юниты, стоящие на соседних клетках в одном ряду с выбранным врагом. Также может атаковать через стены"
Class: Necromancer,Класс: Некромант
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Mark of the Risen' Item\\PARBattle Actions: 1 Lifestealing dark magic attack\\PARSpecial: Presence increases accumulation of Unlife Essence, overhealing self via lifesteal can potentially heal allies","Может быть лидером отряда: Да\\PARРанг: 3\\PARТип юнита: Маг\\PARТип движения: Медленный\\\PARРесурсов требуется: тратит Метку Восставшего\\PARДействия в бою: 1 атака магией Тьмы с высасыванием жизни\\PARОсобенности: Ускоряет накопление Эссенции Нежизни; если высасывание жизни излечивает сверх макс. здоровья, с некоторой вероятностью лечит союзников"
Class: Risen Spearman,Класс: Восставший копейщик
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Нежить\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 пронзающих атаки древковым оружием на расстоянии 1\\PARОсобенности: не лечится; медленно накапливает Эссенцию Нежизни; на одной клетке может находиться до 3 юнитов-соратников нежити
Class: Risen Soldier,Класс: Восставший солдат
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Нежить\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 рубящих удара на расстоянии 1\\PARОсобенности: не лечится; медленно накапливает Эссенцию Нежизни; на одной клетке может находиться до 3 юнитов-соратников нежити
Class: Risen Swordsman,Класс: Восставший мечник
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Нежить\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 рубящих удара на расстоянии 1\\PARОсобенности: не лечится; медленно накапливает Эссенцию Нежизни; на одной клетке может находиться до 3 юнитов-соратников нежити
Class: Risen Archer,Класс: Восставший лучник
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions:  2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Нежить\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 обычных атаки из лука на расстоянии 1 или 1 атака навесом на расстоянии 2\\PARОсобенности: не лечится; медленно накапливает Эссенцию Нежизни; на одной клетке может находиться до 3 юнитов-соратников нежити
Class: Risen Warrior,Класс: Восставший воин
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",Может быть лидером отряда: Нет\\PARРанг: 1\\PARТип юнита: Нежить\\PARТип движения: Нормальный\\PARРесурсов требуется: \\PARДействия в бою: 2 рубящих удара на расстоянии 1\\PARОсобенности: не лечится; медленно накапливает Эссенцию Нежизни; на одной клетке может находиться до 3 юнитов-соратников нежити
Class: Risen Knight,Класс: Восставший рыцарь
