ENGLISH,KOREAN
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Light, Fast\\PARResources Required: 1 Iron, 1 Horse\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial:  +50% Evasion on offense.","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 궁수\\PAR이동 유형: 가벼움, 빠름\\PAR필요한 자원: 철 1개, 말 1필\\PAR전투 방식: 1타일 범위에 2회 활 공격, 혹은 2타일 거리에 1회 곡사 공격 \\PAR특수:공격 시 +50% 회피"
Class: Gunner,병과: 총병
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 2 Iron, 1 Pyrocite\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 화기\\PAR이동 유형: 일반\\PAR필요한 자원: 철 2개, 파이로사이트 1개\\PAR전투 방식: 1타일 범위에 1회 총포 공격\\PAR특수: 공격은 방어구의 75%를 무시하며, , 힘이 아니라 무기 능력치에 기반해 피해량이 결정됩니다."
Class: Dragoon,병과: 총기병
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Fast\\PARResources Required: 2 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: 1 Gun attack at 1 range\\PARSpecial: Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR.","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 화기\\PAR이동 유형: 빠름\\PAR필요한 자원: 철 2개, 파이로사이트 1개, 말 1필\\PAR전투 방식: 1타일 범위에 1회 총포 공격 \\PAR특수: 공격은 방어구의 75%를 무시하며, , 힘이 아니라 무기 능력치에 기반해 피해량이 결정됩니다."
Class: Siege Cannon,병과: 공성 대포
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Normal\\PARResources Required: 3 Iron, 1 Pyrocite, 1 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 화기\\PAR이동 유형: 일반\\PAR필요한 자원: 철 3개, 파이로사이트 1개, 말 1필\\PAR전투 방식: 공격 시, 1~3타일 거리에 1회 폭발성 대포 공격\\PAR특수: 공격 대상을 둘러싼 유닛들에 폭파 피해를 입힙니다. 공격은 방어구의 75%를 무시하며, 힘이 아니라 무기 능력치에 기반해 피해량이 결정됩니다. 이 유닛은 반격할 수 없습니다."
Class: Templar,병과: 수호사제
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 2 Heals of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 지원\\PAR이동 유형: 느림\\PAR필요한 자원: 태양석 1개, 보석 1개\\PAR전투 방식: 가장 체력이 낮은 아군에게 2회 치유 \\PAR특수: 부대 하나의 턴을 이용하여 인접한 부대의 한 유닛을 치유합니다"
Class: Hospitaller,병과: 간호단
"Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Support\\PARMovement Type: Fast\\PARResources Required: 1 Gems, 1 Horse\\PARBattle Actions: 1 Heal of the weakest ally\\PARSpecial: Can use a Squad's turn to heal members of an adjacent Squad","부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 지원\\PAR이동 유형: 빠름\\PAR필요한 자원: 보석 1개, 말 1필\\PAR전투 방식: 가장 체력이 낮은 아군에게 1회 치유 \\PAR특수: 부대 하나의 턴을 이용하여 인접한 부대의 한 유닛을 치유합니다"
Class: Fire Mage,병과: 화염 마법사
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target Row","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: 보석 2개, 태양석 1개\\전투 방식: 1타일 범위에 1회 넓게 휩쓰는 화염 마법 공격\\PAR특수: 공격 대상의 전체 세로줄에 완전한 피해를 가합니다."
Class: Ice Mage,병과: 얼음 마법사
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Explosive Ice Magic attacks at 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target and inflicts the Chill status effect, which significantly lowers enemy SKL for the duration of the battle","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: 보석 2개, 태양석 1개 \\전투 방식: 1타일 범위에 1회 폭발성 얼음 마법 공격\\PAR특수: 공격 대상 주위 넓은 다이아몬드 모양의 영역에 피해를 입히고 냉기 상태이상을 부여해, 전투간 적의 재주 능력치를 대폭 낮춥니다"
Class: Lightning Mage,병과: 번개 마법사
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Column-Piercing Lightning Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target column, has a chance to inflict Daze, which lowers STR for the duration of the battle, or a small chance to inflict Stun, which completely negates one enemy turn","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: 보석 2개, 태양석 1개 \\전투 방식: 1타일 범위에 1회 가로로 관통하는 번개 마법 공격\\PAR특수: 공격 대상 가로 줄 전체에 완전한 피해를 입히며, 전투간 적의 힘을 낮추는 멍해짐 상태이상 또는 적 하나의 턴을 완전히 무효화하는 기절 상태이상을 적용할 확률이 있습니다."
Class: Sorceress,병과: 여마법사
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn",부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 마법사\\PAR이동 유형: 느림\\PAR필요한 자원: 보석 2개\\PAR전투 방식: 1타일 범위에 1회 폭발성 어둠 마법 공격\\PAR특수: 공격 대상 주위 넓은 다이아몬드 모양의 영역에 폭발 피해를 입힙니다. 전투간 적의 힘을 낮추는 멍해짐 상태이상 또는 적 하나의 턴을 완전히 무효화하는 기절 상태이상을 적용할 확률이 있습니다
Class: Drakeling,병과: 새끼 용
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,부대장 가능 여부: 불가\\PAR티어: 1\\PAR유닛 유형: 용\\PAR이동 유형: 일반\\PAR필요한 자원: \\PAR전투 방식: 1타일 범위에 2회 용 숨결 공격\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다.
"Attack Types, Armor, Bonuses and Effectiveness","공격 유형, 방어구, 보너스와 효과"
"Warfare in the battlefields of Symphony of War are based around Armor. How to get more of it, or how to bypass it. Armor is advanced enough in this era that it is very effective against traditional attacks from melee weapons and bows, but offer little protection against Firearms and Magic.\\PARThe importance of Armor, which is highest in Heavy Infantry and Heavy Cavalry, is clearly represented in the militaries of Tahnra, who by and large invest a majority of their army sizes into Heavy units, with Archery being a common suppliment.\\PARA clever commander can easily think of ways to shake up the warfare meta-game of modern Tahnra, be it with ambushes by Light Squads, shocking Cavalry Charge attacks, or brute forcing through Armor with Firearms, Magicians, or Dragons.\\PARLight and Medium armor classes comprise everything not part of the Heavy Infantry or Heavy Cavalry Unit Types. Light Infantry, Light Cavalry, Archery, and Firearms Units are Medium Armor, while Support and Magicians are Light Armor. There are no special modifiers for attacks against these classes. They simply have significantly less Armor value than Heavy units.","심포니 오브 워의 전장 전투는 방어구를 중심으로 이루어집니다. 방어구를 어떻게 더 얻는가, 혹은 어떻게 우회하는가 입니다. 이 시대에 갑옷은 근접 무기와 활로 하는 전통적 공격은 매우 효과적으로 방어하도록 발전했지만, 화기와 마법을 상대로는 착용자를 거의 보호하지 못합니다.\\PAR중보병과 중기병에게 가장 중요한, 그리고 보통 가장 높은 수치를 보이는 방어구의 중요성은 군 규모의 대부분을 중갑병에 투자하는 탄라의 군대에서 분명하게 나타나며, 궁병은 일반적으로 보조 부대로 활용됩니다.\\PAR영리한 지휘관은 경갑 부대의 매복 공격, 강력한 충격력을 가진 기병 돌격 공격, 화기, 마법사 또는 용의 힘을 빌려 방어구를 무자비하게 찢어버리는 공격 등 현대 탄라의 전쟁 메타 게임을 쉽게 뒤흔들 방법을 생각할 수 있습니다.\\PAR경갑옷 및 일반 갑옷 병과는 중보병이나 중기병 유닛 유형에 속하지 않은 모든 유닛을 망라합니다. 경보병, 경기병, 궁병, 화기 유닛은 일반 갑옷 유닛이며, 지원병과 마법사는 경갑옷 유닛입니다. 이 병과들에 대한 공격에는 특별한 계수가 붙지 않습니다. 중갑옷 유닛보다 갑옷 수치가 대폭 낮을 뿐입니다."
Movement Types,이동 유형
"Squad movement is derived from the units within it. Majority movement type of the squad almost always determines Squad movement type. In the case of a tie, it follows a hierarchy. Flying > Slow > Normal > Fast. Meaning, a tie between Flying units and other movement types will always create a Flying Squad. (Some units cancel flying movement. These include any Cavalry, Siege Cannons, or non-flying Dragons.) Conversely, a tie between Fast movement unit types and all other types will never create a Fast Movement type Squad.\\PARThis is the baseline Movement and terrain costs, which can and will be modified by a variety of factors, such as Squad Unit Type, Leadership aspects and traits, and Artifact aspects.","부대 이동은 소속된 유닛의 영향을 받습니다. 부대 이동 유형은 대부분의 경우 다수를 차지하는 유닛 이동 유형이 결정합니다. 동률일 경우에는 다음 우선도를 따릅니다. 비행 > 느림 > 일반 > 빠름. 즉, 비행 유닛과 다른 이동 유형이 동률일 때는 항상 비행 부대가 만들어지는 것입니다. (일부 유닛은 부대의 비행 이동 유형을 취소할 수 있습니다. 여기에는 기병대, 공성 대포, 날지 않는 용이 있습니다.) 반대로, 빠른 유닛 이동 유형과 나머지 이동 유형이 동률을 이룰 때는 빠른 유형의 부대가 만들어지지 않습니다.\\PAR이것이 이동과 지형 비용의 기본이며, 그 다음 부대 유닛 유형, 통솔력 측면과 특성, 유물의 양상 같은 다양한 요인에 의해 변경됩니다."
Unit Types,유닛 유형
"Squad Type is derived from the units within it. Majority Unit type of the squad almost always determines Squad Type. In the case of a tie, it follows a hierarchy. Normal Infantry > Normal Cavalry > Light > Light Cavalry. Meaning, a tie between Normal units and other unit types will always create a Normal Infantry Squad. Conversely, a tie between Light Cavalry unit types and all other types will never create a Light Cavalry Squad Type.\\PARSquad Type's primary function is to determine which Squads get the significant benefit of being considered a 'Light' Type Squad, which grants the ability to conduct Ambushes, and lowers Movement cost of Rough terrain to 2.4 from 3.\\PARAmbushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd.\\PAR'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.","부대 유형은 소속된 유닛의 영향을 받습니다. 부대 유형은 대부분의 경우 다수를 차지하는 유닛 유형이 결정합니다. 동률일 경우에는 다음 우선도를 따릅니다. 일반 보병 > 일반 기병 > 경보병 > 경기병. 즉, 일반 유닛과 다른 유닛 유형이 동률을 이룰 때는 언제나 일반 보병 부대가 만들어집니다. 반대로, 경기병 유닛 유형과 다른 모든 유형이 동률을 이룰 때는 경기병 부대 유형이 만들어지지 않습니다.\\PAR부대 유형의 주 기능은, 어떤 부대가 가벼움 유형의 부대로 간주되어 매복을 수행할 능력과 거친 지형을 지날 때의 이동 페널티를 3에서 2.4로 낮추는 등의 상당한 혜택을 얻을지를 결정하는 것입니다.\\PAR매복은 실행할 수 있다면 굉장히 강력합니다. 매복을 실행하기 위해서는, 당신의 가벼움 유형 부대는 숲, 언덕, 늪, 마을 타일과 일부 필드 목표에서 턴을 시작해야 하며, 매복 지형 내나 매복 지형에 인접한 타일에 위치한 대상을 공격해야 합니다. 매복을 실행하면 적은 당신의 첫 번째 공격을 반격할 수 없으며, 두 번째 공격에서만 반격할 수 있습니다.\\PAR'치고 빠지기'는 일반 기병대와 경기병대 부대 유형의 특징입니다. 공격이나 치유 같은 행동을 취한 후 기병대는 잔여 이동 가능거리의 절반만큼 다시 이동할 수 있습니다."
Learnable Trait List (Unit level),배울 수 있는 특성 목록 (유닛)
"These Traits are always active and apply only to the Unit. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","이 특성들은 언제나 활성화되어 있으며 유닛에게만 적용됩니다. 더 많은 특성이 있으나, 병과나 유니크 캐릭터에 연동됩니다. 이 특성들은 스킬 책을 통해 배우거나, 임의로 생성된 유닛에 내재된 특성입니다.\\PAR"
Learnable Trait List (Leader level),배울 수 있는 특성 목록 (부대장)
"These Traits can be found on any Unit, but are only active if that Unit is a Squad Leader. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR","이 특성들은 어떤 유닛에서나 찾을 수 있지만, 유닛이 부대장일 때만 활성화됩니다. 더 많은 특성이 있으나, 병과나 유니크 캐릭터에 연동됩니다. 이 특성들은 스킬 책을 통해 배우거나, 임의로 생성된 유닛에 내재된 특성입니다.\\PAR"
Loyalty,충성심
"Determines Capacity cost. Only applies to followers, not leaders. Mercenaries start with the lowest loyalty, for example. Loyalty is gained over time through combat experience and capturing objectives.","보급 비용을 결정합니다. 부대장이 아니라 부대원에게만 적용됩니다. 예를 들어, 용병들은 가장 낮은 충성심으로 시작합니다. 충성심은 시간이 흐름에 따라 전투 경험과 목표 점령을 통해 얻을 수 있습니다."
Threat Rating,위협도
"An overall rating of the Threat level of your Units and Squads. Affects enemy decision making - they are less likely to target Squads with higher Threat. Also affects Surrender chance. If your Threat Rating is lower than the Squad being targeted, they will not Surrender.","유닛과 부대의 전반적인 위협 레벨입니다. 적의 의사 결정에 영향을 미칩니다 - 위협도가 높은 부대는 공격 대상이 될 가능성이 적습니다. 또한 항복 확률에도 영향을 줍니다. 투항 권고를 실행하는 플레이어 부대의 위협도가 대상이 된 적 부대보다 낮을 경우, 대상 적 부대는 항복하지 않습니다."
Block (formation),가로막음 (진형)
"All units block allies from melee attacks when they are anywhere in the formation behind the blocking unit. Note, this is reversed for stealth/back attacks. The scope of blocking includes tiles in the same column, OR in the half-step columns directly above and below the blocking unit. Non-melee attacks are exempt from being blocked.","모든 유닛은 진형 내 위치와 관계없이 그 앞을 가로막는 아군 유닛이 있다면, 적이 근접 공격시 앞을 막는 유닛이 피해를 대신 받습니다. 은신/배후 공격에서는 반대가 되므로 주의하세요. 가로막음 범위에는 같은 가로줄의 칸들이나, 가로막는 유닛의 위나 아래로 반 칸의 가로줄의 타일이 포함됩니다. 비 근접 공격은 가로막음에서 제외됩니다."
Cover (formation),보호 (진형)
"Heavy Infantry, Heavy Cavalry, Light Infantry, Light Cavalry, and Dragons can Cover allies based on formation. Being 'covered' reduces damage taken. The area/range of effect is the same as Blocking, but the scope or magnitude of the damage reduction varies. Heavy units confer more damage reduction than light units. The closer the proximity to the Covering unit, the greater the damage reduction. Cover can 'stack' if covered by more than one unit.","중보병, 중기병, 경보병, 경기병, 용은 진형에 따라 아군을 보호할 수 있습니다. 유닛이 ‘보호’되면 받는 피해가 줄어듭니다. 영향을 받는 범위/영역은 가로막음과 마찬가지지만, 피해량 감소의 정도는 다릅니다. 무거운 갑옷을 입은 유닛은 가벼운 갑옷을 입은 유닛보다 더 많은 피해를 줄입니다. 보호하는 유닛으로부터의 거리가 가까울수록 피해량 감소가 더 큽니다. 한 유닛 이상이 보호하는 경우 커버는 ‘중첩’됩니다."
Capacity,보급 비용/보급 한계
"Squad Capacity determines how many units and artifacts can comprise a squad. It is derived directly from the LDR stat of the Squad Leader. The default capacity cost of a unit is 10, and is modified by loyalty traits, or 'captain' leader traits. The cost of new units entering a squad increases to a baseline of 12 for the 6th unit, 14 for the 7th unit, 16 for the 8th unit, and 18 for the 9th unit.","부대 보급 한계는 부대에 얼마나 많은 유닛과 유물을 추가할 수 있는지 결정합니다. 부대장의 통솔력으로부터 직접적인 영향을 받습니다. 한 유닛의 기본 보급 비용은 10이며, 충성도 특성 혹은 ‘xx 부대장’ 부대장 특성에 의해 변경됩니다. 부대에 새로운 유닛이 들어올 때, 보급 비용은 6번째 유닛은 기본 12, 7번째 유닛은 14, 8번째 유닛은 16, 9번째 유닛은 18로 올라갑니다."
Status Effects,상태이상
Chill: Greatly reduces SKL for the duration of battle.\\PARDazed: Reduces STR for the duration of battle.\\PARStun: Magical stun inflicted by Sirens and Sorceresses. Prevents action.\\PARShock: Physical stun inflicted by Cavalry Charge.,냉기: 전투 동안 재주 능력치가 대폭 감소합니다.\\PAR멍해짐: 전투 동안 힘이 감소합니다.\\PAR기절: 사이렌과 여마법사는 유닛의 행동을 멈출 수 있는 마법적인 기절 효과를 부여할 수 있습니다.\\PAR충격: 물리적인 기절은 기병대 돌격에 의해 발동됩니다.
(Formation) Row,(진형) 세로줄
"Side to side, from your Squad's perspective. The attack pattern of Zweihanders, Diana, and Fire Mages.","부대의 관점에서 양옆으로 적용됩니다. 양손검사, 다이애나, 화염 마법사의 공격 방식입니다."
(Formation) Column,(진형) 가로줄
"Front to back, from your Squad's perspective. The attack pattern of Centurions, and Lightning Mages.",부대의 관점에서 앞뒤로 적용됩니다. 백인대장과 번개 마법사의 공격 방식입니다.
Shuffle,위치변경
Swap the position of 2 player Squads. This will consume the action of the Squad initiating the Shuffle for that turn.\\PARCavalry and Flying Squads cannot participate in a Shuffle.,2 플레이어 부대의 위치를 서로 바꿉니다. 이 경우 해당 턴에 위치변경을 개시한 부대의 행동이 소모됩니다.\\PAR기병과 비행 부대는 위치변경에 참여할 수 없습니다.
Ambush,매복
"Ambushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd, giving you one free attack.","매복은 실행할 수 있다면 굉장히 강력합니다. 매복을 실행하기 위해서는, 당신의 가벼움 유형 부대는 숲, 언덕, 늪, 마을 타일과 일부 필드 목표에서 턴을 시작해야 하며, 매복 지형 내나 매복 지형에 인접한 타일에 위치한 대상을 공격해야 합니다. 매복을 실행하면 적은 당신의 첫 번째 공격을 반격할 수 없으며, 두 번째 공격에서만 반격할 수 있습니다. 이는 당신에게 한 번의 자유 공격 기회가 주어짐을 의미합니다."
Surround (Lowering enemy Morale tactic),둘러싸기 (적 사기 저하 전술)
"You can significantly lower enemy Morale by surrounding an enemy squad, standing directly adjacent. The effect starts when you have 2 squads adjacent, and increases effect when you have 3, and 4 for maximum effect.","적 부대와 인접한 타일에 아군 부대를 배치하여 적을 둘러싸 사기를 대폭 감소시킬 수 있습니다. 이 효과는 2 부대를 인접시키면 시작되며, 3, 최고 4 부대까지 효과를 증가시킬 수 있습니다."
Class: Dragon,병과: 용
Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,부대장 가능 여부: 불가\\PAR티어: 2\\PAR유닛 유형: 용\\PAR이동 유형: 일반\\PAR필요한 자원: \\PAR전투 방식: 1타일 범위에 2회 화염 용 숨결 공격\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다.
Class: Blue Dragon,병과: 푸른 용
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,부대장 가능 여부: 불가\\PAR티어: 3\\PAR유닛 유형: 용\\PAR이동 유형: 일반\\PAR필요한 자원: \\PAR전투 방식: 1타일 범위에 2회 번개 용 숨결 공격\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다.
Class: Silver Dragon,병과: 은빛 용
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,부대장 가능 여부: 불가\\PAR티어: 3\\PAR유닛 유형: 용\\PAR이동 유형: 일반\\PAR필요한 자원: \\PAR전투 방식: 1타일 범위에 2회 얼음 용 숨결 공격\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다.
Class: Red Dragon,병과: 붉은 용
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,부대장 가능 여부: 불가\\PAR티어: 3\\PAR유닛 유형: 용\\PAR이동 유형: 일반\\PAR필요한 자원: \\PAR전투 방식: 1타일 범위에 2회 화염 용 숨결 공격\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다.
Class: Blue Dragon Rider,병과: 푸른 용기수
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","부대장 가능 여부: 가능\\PAR티어: 4\\PAR유닛 유형: 용\\PAR이동 유형: 비행\\PAR필요한 자원: 보석 2개, 흑요석 2개\\PAR전투 방식: 1타일 범위에 2회 번개 용 숨결 공격\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다."
Class: Silver Dragon Rider,병과: 은빛 용기수
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","부대장 가능 여부: 가능\\PAR티어: 4\\PAR유닛 유형: 용\\PAR이동 유형: 비행\\PAR필요한 자원: 보석 2개, 흑요석 2개\\PAR전투 방식: 1타일 범위에 2회 얼음 용 숨결 공격\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다."
Class: Red Dragon Rider,병과: 붉은 용기수
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.","부대장 가능 여부: 가능\\PAR티어: 4\\PAR유닛 유형: 용\\PAR이동 유형: 비행\\PAR필요한 자원: 보석 2개, 흑요석 2개\\PAR전투 방식: 1타일 범위에 2회 화염 용 숨결 공격\\PAR특수: 용 숨결 피해는 힘과 마력 두 능력치 모두에 기반합니다."
Class: Captain,병과: 대장
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains,부대장 가능 여부: 가능\\PAR티어: 2\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: \\PAR전투 방식: 1타일 범위에 2회 베기 공격\\PAR특수: 아군 전체의 통솔력 획득량에서 통솔력에 소량의 보너스를 얻습니다
Class: Lord,병과: 군주
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 1 MAG-based Area effect attack, and 1 Slashing attack at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: \\PAR전투 방식: 1회 마력 기반의 범위 공격, 이후 1타일 범위에 1회 베기 공격\\PAR특수: 아군 전체의 통솔력 획득량에서 통솔력에 소량의 보너스를 얻습니다"
Class: Blademaster,병과: 블레이드마스터
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required:\\PARBattle Actions: 2 Slashing double-attacks at 1 range OR 1 archery attack at 2 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 경보병\\PAR이동 유형: 가벼움\\PAR필요한 자원:\\PAR전투 방식: 1타일 범위에 2회 베기 연속 공격, 혹은 2타일 범위에 1회 곡사 공격\\PAR특수: 숲, 마을, 언덕, 늪지에서 회피 증가."
Class: Exemplar,병과: 수석 성기사
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Striking, wide-sweeping at 1 range that strike an entire row\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value","부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 중보병\\PAR이동 유형: 일반\\PAR필요한 자원: \\PAR전투 액션: 1타일 범위에 2회 넓게 휘두르는 타격 공격\\PAR특수: 이 유닛의 방어구 값의 25%만큼 마법과 용 숨결에 저항"""
Class: General,병과: 장군
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Cavalry\\PARResources Required:\\PARBattle Actions: 1 moderate heal that affects the entire Squad\\PARSpecial:,부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 지원\\PAR이동 유형: 기병\\PAR필요한 자원:\\PAR전투 방식: 부대 전체에 1회 적당량의 치유\\PAR특수:
Class: Mirage,병과: 신기루
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 3 Stealth Attacks at 1 range\\PARSpecial:,부대장 가능 여부: 가능\\PAR티어: 3\\PAR유닛 유형: 경보병\\PAR이동 유형: 가벼움\\PAR필요한 자원: \\PAR전투 방식: 1타일 범위에 3회 은신 공격\\PAR특수:
Class: Arbalest,병과: 기계석궁병
