ENGLISH,ZH-cn,
"Squad movement is derived from the units within it. Majority movement type of the squad almost always determines Squad movement type. In the case of a tie, it follows a hierarchy. Flying > Slow > Normal > Fast. Meaning, a tie between Flying units and other movement types will always create a Flying Squad. (Some units cancel flying movement. These include any Cavalry, Siege Cannons, or non-flying Dragons.) Conversely, a tie between Fast movement unit types and all other types will never create a Fast Movement type Squad.\\PARThis is the baseline Movement and terrain costs, which can and will be modified by a variety of factors, such as Squad Unit Type, Leadership aspects and traits, and Artifact aspects.",队伍的移动模式由队伍内的单位决定。一般来说，队伍内占多数的移动类型决定整支队伍的移动类型。如果出现数量相同的情况，则遵循这个原则：飞行>慢速>正常>快速。也就是说，飞行单位和其他移动类型持平时，队伍一定会是飞行小队。（一些单位会抵消飞行，包括骑兵、攻城炮或不能飞行的龙。） 相反，快速和别的类型之间持平时，小队的移动类型一定不是快速。\\PAR移动类型会决定基本移动和地形花费，其他影响移动的因素有：小队单位类型、统率和特性，以及神器等。,
Unit Types,单位类型,
"Squad Type is derived from the units within it. Majority Unit type of the squad almost always determines Squad Type. In the case of a tie, it follows a hierarchy. Normal Infantry > Normal Cavalry > Light > Light Cavalry. Meaning, a tie between Normal units and other unit types will always create a Normal Infantry Squad. Conversely, a tie between Light Cavalry unit types and all other types will never create a Light Cavalry Squad Type.\\PARSquad Type's primary function is to determine which Squads get the significant benefit of being considered a 'Light' Type Squad, which grants the ability to conduct Ambushes, and lowers Movement cost of Rough terrain to 2.4 from 3.\\PARAmbushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd.\\PAR'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.",小队类型由小队内部的单位决定。队伍内占多数的单位类型决定整支队伍的类型。如果出现数量相同的情况，则遵循这个原则：普通步兵>普通骑兵>轻骑兵>轻骑兵。也就是说，普通单位和其他单位持平时，小队类型一定是普通步兵。相反，轻骑兵单位和其他类型持平时，小队类型一定不会是轻骑兵。\\PAR小队类型的主要用来判定谁会成为“轻型”并获得优势。轻型小队可以伏击敌人，在崎岖地形的移动花费为2.4而不是3。\\PAR伏击用起来是十分强大的。轻型小队必须在树林、丘陵、沼泽、城镇地块和一些野外建筑开始回合，并攻击也在伏击地区内的或直接相邻的目标。发动伏击时，敌人无法反击第一轮攻击，只能在反击第二轮。\\PAR“打了就跑”是普通骑兵和轻骑兵小队类型的特性。在攻击或治疗后可以再次移动，移动距离是其原始总移动点数的一半。,
Learnable Trait List (Unit level),可学特性（单位）,
"These Traits are always active and apply only to the Unit. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR",这些特性长期有效，仅适用于单位。特性不止这些，不过其他特性与职业或独特角色绑定。可以通过技能书学习获得特性，随机生成的单位也可能会自带特性。\\PAR,
Learnable Trait List (Leader level),可学特性（队长）,
"These Traits can be found on any Unit, but are only active if that Unit is a Squad Leader. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR",任何单位都可以有这些特性，但仅当单位为队长时才会启用。特性不止这些，不过其他特性与职业或独特角色绑定。可以通过技能书学习获得特性，随机生成的单位也可能会自带特性。\\PAR,
Loyalty,忠诚,
"Determines Capacity cost. Only applies to followers, not leaders. Mercenaries start with the lowest loyalty, for example. Loyalty is gained over time through combat experience and capturing objectives.",确定规模花费。仅适用队伍成员，队长不占规模。例如，雇佣兵的忠诚度最低。随着时间的推移，忠诚度可以通过拼杀和攻占建筑获得。,
Threat Rating,威胁等级,
"An overall rating of the Threat level of your Units and Squads. Affects enemy decision making - they are less likely to target Squads with higher Threat. Also affects Surrender chance. If your Threat Rating is lower than the Squad being targeted, they will not Surrender.",威胁等级是对你的部队和小队的威胁程度的总体评价。由于敌人会避免攻击威胁度高的小队，威胁等级会影响敌人的决策，也会影响投降的概率。如果我方队伍的威胁等级低于敌方，敌人将不会投降。,
Block (formation),阻挡（编队）,
"All units block allies from melee attacks when they are anywhere in the formation behind the blocking unit. Note, this is reversed for stealth/back attacks. The scope of blocking includes tiles in the same column, OR in the half-step columns directly above and below the blocking unit. Non-melee attacks are exempt from being blocked.",前方的友军单位会阻挡敌人的近战攻击。请注意，这与潜行/后排攻击相反。只要在同一列都可以阻挡。非近战攻击不会被挡住。,
Cover (formation),掩护（编队）,
"Heavy Infantry, Heavy Cavalry, Light Infantry, Light Cavalry, and Dragons can Cover allies based on formation. Being 'covered' reduces damage taken. The area/range of effect is the same as Blocking, but the scope or magnitude of the damage reduction varies. Heavy units confer more damage reduction than light units. The closer the proximity to the Covering unit, the greater the damage reduction. Cover can 'stack' if covered by more than one unit.",根据编队情况，重步兵、重骑兵、轻步兵、轻骑兵和龙可以掩护盟友。受“掩护”的单位受到的伤害会减少。其影响范围与阻挡相同，但伤害减免的范围和幅度不同。重型单位比轻型单位提供更多的伤害减免。距离掩护单位越近，伤害减免越大。多个单位的掩护可以累积。,
Capacity,规模,
"Squad Capacity determines how many units and artifacts can comprise a squad. It is derived directly from the LDR stat of the Squad Leader. The default capacity cost of a unit is 10, and is modified by loyalty traits, or 'captain' leader traits. The cost of new units entering a squad increases to a baseline of 12 for the 6th unit, 14 for the 7th unit, 16 for the 8th unit, and 18 for the 9th unit.",小队规模决定了小队可以有多少单位和神器。规模直接受队长的统率影响。一个单位的默认规模为10，并受到忠诚度特征或队长的“队长”特性影响。编入新单位的所需规模会逐渐增加，第6个单位为12点，第7个单位为14点，第8个单位为16点，第9个单位为18点。,
Status Effects,状态效果,
Chill: Greatly reduces SKL for the duration of battle.\\PARDazed: Reduces STR for the duration of battle.\\PARStun: Magical stun inflicted by Sirens and Sorceresses. Prevents action.\\PARShock: Physical stun inflicted by Cavalry Charge.,寒冷：灵巧在战斗期间大幅度降低。\\PAR迷惑：力量在战斗期间降低。\\PAR击晕：女巫和女术士用魔法击晕敌人。不能行动。\\PAR冲击：骑兵冲锋造成的物理眩晕。,
(Formation) Row,（编队）排,
"Side to side, from your Squad's perspective. The attack pattern of Zweihanders, Diana, and Fire Mages.",从小队的视角来看，横着为一排。双手剑士、戴安娜和火法师的攻击方式。,
(Formation) Column,（编队）列,
"Front to back, from your Squad's perspective. The attack pattern of Centurions, and Lightning Mages.",从小队的视角来看，竖着为一列。百夫长和雷法师的攻击方式。,
Shuffle,换位,
Swap the position of 2 player Squads. This will consume the action of the Squad initiating the Shuffle for that turn.\\PARCavalry and Flying Squads cannot participate in a Shuffle.,交换2个玩家小队的位置。换位后，小队在当前回合无法继续行动。\\PAR骑兵和飞行小队无法换位。,
Ambush,伏击,
"Ambushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd, giving you one free attack.",伏击是十分强大的攻击模式。轻型小队必须在树林、丘陵、沼泽、城镇地块和一些野外建筑开始回合，并攻击也在伏击地区内或直接相邻的目标。伏击时，敌人只能在第二轮交战中反击，也就是说第一轮交战不会损血。,
Surround (Lowering enemy Morale tactic),包围（降低敌人士气）,
"You can significantly lower enemy Morale by surrounding an enemy squad, standing directly adjacent. The effect starts when you have 2 squads adjacent, and increases effect when you have 3, and 4 for maximum effect.",站在敌方小队旁边来包围他们可以显著降低敌方士气。需要有至少2个小队与敌人相邻才能发动包围，有3个小队时效果增加，4个小队时效果最大。,
Class: Dragon,职业：龙,
Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,可以担任队长：否\\PAR职阶：2\\PAR单位类型：龙\\PAR移动类型：普通\\PAR需要资源：\\PAR战斗行动：对1格范围使用火焰龙息攻击2次\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
Class: Blue Dragon,职业：蓝龙,
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,可以担任队长：否\\PAR职阶：3\\PAR单位类型：龙\\PAR移动类型：普通\\PAR需要资源：\\PAR战斗行动：对1格范围使用雷电龙息攻击2次\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
Class: Silver Dragon,职业：银龙,
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,可以担任队长：否\\PAR职阶：3\\PAR单位类型：龙\\PAR移动类型：普通\\PAR需要资源：\\PAR战斗行动：对1格范围使用寒冰龙息攻击2次\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
Class: Red Dragon,职业：红龙,
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,可以担任队长：否\\PAR职阶：3\\PAR单位类型：龙\\PAR移动类型：普通\\PAR需要资源：\\PAR战斗行动：对1格范围使用火焰龙息攻击2次\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
Class: Blue Dragon Rider,职业：蓝龙骑士,
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",可以担任队长：是\\PAR职阶：4\\PAR单位类型：龙\\PAR移动类型：飞行\\PAR需要资源：2宝石，2黑曜石\\PAR战斗行动：对1格范围使用雷电龙息攻击2次\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
Class: Silver Dragon Rider,职业：银龙骑士,
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",可以担任队长：是\\PAR职阶：4\\PAR单位类型：龙\\PAR移动类型：飞行\\PAR需要资源：2宝石，2黑曜石\\PAR战斗行动：对1格范围使用寒冰龙息攻击2次\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
Class: Red Dragon Rider,职业：红龙骑士,
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",可以担任队长：是\\PAR职阶：4\\PAR单位类型：龙\\PAR移动类型：飞行\\PAR需要资源：2宝石，2黑曜石\\PAR战斗行动：对1格范围使用火焰龙息攻击2次\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
Class: Captain,职业：队长,
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains,可以担任队长：是\\PAR职阶：2\\PAR单位类型：重步兵\\PAR移动类型：正常\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内挥砍2次\\PAR特色：根据整个军团获得的统率来获得少量统率,
Class: Lord,职业：领主,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 1 MAG-based Area effect attack, and 1 Slashing attack at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重步兵\\PAR移动类型：正常\\PAR需要资源：不适用\\PAR战斗行动：发动1次魔法范围攻击，并在1格范围内挥砍1次\\PAR特色：根据整个军团获得的统率来获得少量统率,
Class: Blademaster,职业：刀剑大师,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required:\\PARBattle Actions: 2 Slashing double-attacks at 1 range OR 1 archery attack at 2 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp",可以担任队长：是\\PAR职阶：3\\PAR单位类型：轻步兵\\PAR移动类型：轻型\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内双重挥砍2次，或者在2格范围内弓术攻击1次\\PAR特色：增加在树林、城镇景观、丘陵和沼泽的闪避,
Class: Exemplar,职业：楷模,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Striking, wide-sweeping at 1 range that strike an entire row\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",可以担任队长：是\\PAR职阶：3\\PAR单位类型：重步兵\\PAR移动类型：正常\\PAR需要资源：不适用\\PAR战斗行动：对1格范围发动2次扫荡攻击，攻击一整排的敌人\\PAR特色：该单位的25%护甲值会减免魔法和龙息攻击,
Class: General,职业：将军,
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Cavalry\\PARResources Required:\\PARBattle Actions: 1 moderate heal that affects the entire Squad\\PARSpecial:,可以担任队长：是\\PAR职阶：3\\PAR单位类型：辅助\\PAR移动类型：骑兵\\PAR需要资源：不适用\\PAR战斗行动：治疗整支小队1次，治疗量适中\\PAR特色：,
Class: Mirage,职业：幻影,
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 3 Stealth Attacks at 1 range\\PARSpecial:,可以担任队长：是\\PAR职阶：3\\PAR单位类型：轻步兵\\PAR移动类型：轻型\\PAR需要资源：不适用\\PAR战斗行动：对1格范围发动3次潜行攻击\\PAR特色：,
Class: Arbalest,职业：钢弩,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR -25% damage taken from ranged attacks",可以担任队长：是\\PAR职阶：3\\PAR单位类型：弓兵\\PAR移动类型：普通\\PAR需要资源：3铁\\PAR战斗行动：在1格范围内弓箭攻击2次，或在2格范围内扫射1次\\PAR特色：攻击无视25%的护甲，伤害由武器威力决定，而不是力量 敌方远程攻击对其造成伤害-25%,
Class: War Cat,职业：战猫,
"Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls",可以担任队长：否\\PAR职阶：2\\PAR单位类型：野兽\\PAR移动类型：轻型\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内大范围挥砍2次\\PAR特色：攻击对相邻1格的同排敌人造成溅射伤害,能越墙进攻
Class: Behemoth,职业：巨兽,
"Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls",可以担任队长：否\\PAR职阶：3\\PAR单位类型：野兽\\PAR移动类型：轻型\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内大范围挥砍2次\\PAR特色：攻击对相邻1格的同排敌人造成溅射伤害,能越墙进攻
Class: Necromancer,职业：亡灵法师,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Mark of the Risen' Item\\PARBattle Actions: 1 Lifestealing dark magic attack\\PARSpecial: Presence increases accumulation of Unlife Essence, overhealing self via lifesteal can potentially heal allies",可以担任队长：是\\PAR职阶：3\\PAR单位类型：法师\\PAR移动类型：缓慢\\PAR需要资源：复苏者之印\\PAR战斗行动：1次生命偷窃的暗魔法攻击\\PAR特色：在场可以增加死灵元素的积累，生命窃取治愈自己溢出的部分有可能治疗队友。,
Class: Risen Spearman,职业：复苏矛兵,
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",可以担任队长：否\\PAR职阶：1\\PAR单位类型：亡灵\\PAR移动类型：普通\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内发动2次长柄攻击\\PAR特色：无法被治疗，缓慢积累死灵元素，每单位可以堆叠至3仆从,
Class: Risen Soldier,职业：复苏士兵,
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",可以担任队长：否\\PAR职阶：1\\PAR单位类型：亡灵\\PAR移动类型：普通\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内挥砍2次\\PAR特色：无法被治疗，缓慢积累死灵元素，每单位可以堆叠至3仆从,
Class: Risen Swordsman,职业：复苏剑士,
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",可以担任队长：否\\PAR职阶：1\\PAR单位类型：亡灵\\PAR移动类型：普通\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内挥砍2次\\PAR特色：无法被治疗，缓慢积累死灵元素，每单位可以堆叠至3仆从,
Class: Risen Archer,职业：复苏弓兵,
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions:  2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",可以担任队长：否\\PAR职阶：1\\PAR单位类型：亡灵\\PAR移动类型：普通\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内弓箭攻击2次，或在2格范围内扫射1次\\PAR特色：无法被治疗，缓慢积累死灵元素，每单位可以堆叠至3仆从,
Class: Risen Warrior,职业：复苏战士,
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",可以担任队长：否\\PAR职阶：1\\PAR单位类型：亡灵\\PAR移动类型：普通\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内双重挥砍2次\\PAR特色：无法被治疗，缓慢积累死灵元素，每单位可以堆叠至3仆从,
Class: Risen Knight,职业：复苏骑士 ,
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence",可以担任队长：否\\PAR职阶：1\\PAR单位类型：亡灵\\PAR移动类型：普通\\PAR需要资源：不适用\\PAR战斗行动：在1格范围内挥砍2次\\PAR特色：无法被治疗，缓慢积累死灵元素,
Class: Risen Archmage,职业：复苏大法师,
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence",可以担任队长：否\\PAR职阶：1\\PAR单位类型：亡灵\\PAR移动类型：普通\\PAR需要资源：不适用\\PAR战斗行动：对1格范围用火焰魔法大范围扫击1次\\PAR特色：无法被治疗，缓慢积累死灵元素,
Class: Queen of Dragons,职业：龙族女王,
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range, full squad heal available as needed\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",可以担任队长：是\\PAR职阶：4\\PAR单位类型：龙\\PAR移动类型：飞行\\PAR需要资源：不适用\\PAR战斗行动：对1格范围使用寒冰龙息攻击2次，按需发动全队治疗\\PAR特色：龙息伤害由力量和魔法共同决定，两者比重相同。,
Class: Oracle,职业：神谕者,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Slow\\PARResources Required: 1 Sunstone, 1 Gems\\PARBattle Actions: 1 shield granted to entire squad\\PARSpecial:",可以担任队长：是\\PAR职阶：3\\PAR单位类型：辅助\\PAR移动类型：缓慢\\PAR需要资源：1日光石，1宝石\\PAR战斗行动：给予整队一面护盾\\PAR特色：无,
Class: Field Cannon,职业：野战炮,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Firearms\\PARMovement Type: Horse\\PARResources Required: 2 Iron, 2 Pyrocite, 2 Horse\\PARBattle Actions: On Offense, 1 Explosive Cannon attack at 1, 2, or 3 range\\PARSpecial: Deals Splash damage to surrounding tiles. Attacks ignore 75% of Armor, damage derived from Weapon Power and not STR. Cannot counter-attack.",可以担任队长：是\\PAR职阶：3\\PAR单位类型：火器\\PAR移动类型：快速\\PAR需要资源：2铁，2火铁矿，2马\\PAR战斗行动：进攻时，用火炮对1、2或3格范围发动1次爆炸攻击\\PAR特色：对周围的格子造成溅射伤害。攻击无视75%的护甲，伤害由武器威力决定，而不是力量。无法反击。,
Class: Dark Mage,职业：暗法师,
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Defiled Donari Tome' Item\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to supress healing on targets hit,可以担任队长：是\\PAR职阶：3\\PAR单位类型：法师\\PAR移动类型：缓慢\\PAR需要资源：被亵渎的多纳尔教圣典\\PAR战斗行动：对1格范围用黑魔法发动1次爆炸攻击\\PAR特色：对目标的前后左右造成溅射伤害。有概率压制被击中目标的治疗,
Undead units and Unlife Essence,亡灵单位与死灵元素,
"Risen units are considered Undead.  Risen cannot be healed by conventional means, or revived at a temple. All Risen accumulate a resource called Unlife Essence, which is displayed visually in battle under the Morale bar. When the Unlife Essence bar is full, a new Risen unit will be summoned into your squad. Unlife Essence accumulates slowly by dealing damage, and quickly by killing enemies. Surrender does not accumulate any Unlife Essence. The presence of a Necromancer greatly increases the accumulation of Unlife Essence. At the beginning of player phase, Risen you start the mission with will automatically regenerate to one stack if killed. Necromancers will summon one Risen stack if there are fewer Risen than Necromancers at the start of Player Phase.",复苏单位被视作亡灵单位的一种。复苏单位不能用常规方法进行治疗，也不能在圣殿复活。所有的复苏单位都会积累一种名为死灵元素的资源，在战场上，它的指示计位于士气条下方。当死灵元素条充满时，一个新的复苏单位就会被召唤到你的小队中。死灵元素可以通过造成伤害来缓慢积累，或通过击杀敌人来快速积累。招降不会增长死灵元素。亡灵法师在场会极大增进死灵元素的积累。在玩家回合开始时，你一上来就有的复苏单位如果阵亡，会立即自动再生为1层状态。如果在玩家回合开始时，场上的复苏单位数量小于亡灵法师的数量，亡灵法师会召唤1层复苏单位。,
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Defiled Donari Tome' Item\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Lowers effectiveness of heals, Mage and Dragon attacks.",,可以担任队长：是\\PAR职阶：3\\PAR单位类型：法师\\PAR移动类型：缓慢\\PAR需要资源：被亵渎的多纳尔教圣典\\PAR战斗行动：对1格范围用黑魔法发动1次爆炸攻击\\PAR特色：对目标的前后左右造成溅射伤害。降低治疗、法师和龙息攻击的效果。
"Can be a Squad Leader: No\PARTier: 3\PARUnit Type: Beast\PARMovement Type: Light\PARResources Required: \PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls. Bypasses cover when attacking from a high ground advantage",,可以担任队长：否\PAR职阶：3\PAR单位类型：野兽\PAR移动类型：轻型\PAR需要资源：不适用\PAR战斗行动：在1格范围内大范围挥砍2次\PAR特色：攻击对相邻1格的同排敌人造成溅射伤害,能越墙进攻。有高地优势时进攻无视掩护。
