ENGLISH,JAPANESE
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target Row",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:魔法使い\\PAR移動タイプ:低速\\PAR必要資源:宝石2、日長石1\\PARバトルアクション:1回のワイド炎魔法、射程1\\PAR特殊:ターゲットの列全体にフルダメージを与える。
Class: Ice Mage,クラス:アイスメイジ
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Explosive Ice Magic attacks at 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target and inflicts the Chill status effect, which significantly lowers enemy SKL for the duration of the battle",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:魔法使い\\PAR移動タイプ:低速\\PAR必要資源:宝石2、日長石1\\PARバトルアクション:1回の氷魔法、射程1\\PAR特殊:ターゲットの周囲の広い菱形の範囲に拡散ダメージを与え、敵のSKLを大幅に低下させる凍結のステータス効果を与える。
Class: Lightning Mage,クラス:ライトニングメイジ
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems, 1 Sunstone\\PARBattle Actions: 1 Column-Piercing Lightning Magic attacks at 1 range\\PARSpecial: Does full damage to the entire target column, has a chance to inflict Daze, which lowers STR for the duration of the battle, or a small chance to inflict Stun, which completely negates one enemy turn",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:魔法使い\\PAR移動タイプ:低速\\PAR必要資源:宝石2、日長石1\\PARバトルアクション:1回の縦列貫通雷魔法攻撃、射程1\\PAR特殊:ターゲットの縦列全体にフルダメージを与え、一定確率で戦闘中のSTRを低下させる「放心」状態にするか、低確率で敵の1ターンを完全に無効化する「スタン」状態にする。
Class: Sorceress,クラス:ソーサレス
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: 2 Gems\\PARBattle Actions: 1 Explosive Dark Magic attacks 1 range\\PARSpecial: Does splash damage to a large diamond-shaped area around the target. Chance to Stun or Daze targets. Daze lowers enemy STR for the duration of the battle, while Stun completely negates one enemy turn",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:魔法使い\\PAR移動タイプ:低速\\PAR必要資源:宝石2\\PARバトルアクション:1回の爆発闇魔法、射程1\\PAR特殊:ターゲットの周囲の広い菱形のエリアに拡散ダメージを与える。ターゲットをスタンまたは放心状態にさせることがある。放心状態は敵のSTRを低下させ、スタンは敵の行動を1ターン完全に無効化する
Class: Drakeling,クラス:ドラケリング
Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:ドラゴン\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回のドラゴンブレス、射程1\\PAR特殊:ドラゴンブレスのダメージは、STRとMAGの両方から、同等の割合で計算される。
"Attack Types, Armor, Bonuses and Effectiveness",攻撃タイプ、装甲、ボーナス、効果
"Warfare in the battlefields of Symphony of War are based around Armor. How to get more of it, or how to bypass it. Armor is advanced enough in this era that it is very effective against traditional attacks from melee weapons and bows, but offer little protection against Firearms and Magic.\\PARThe importance of Armor, which is highest in Heavy Infantry and Heavy Cavalry, is clearly represented in the militaries of Tahnra, who by and large invest a majority of their army sizes into Heavy units, with Archery being a common suppliment.\\PARA clever commander can easily think of ways to shake up the warfare meta-game of modern Tahnra, be it with ambushes by Light Squads, shocking Cavalry Charge attacks, or brute forcing through Armor with Firearms, Magicians, or Dragons.\\PARLight and Medium armor classes comprise everything not part of the Heavy Infantry or Heavy Cavalry Unit Types. Light Infantry, Light Cavalry, Archery, and Firearms Units are Medium Armor, while Support and Magicians are Light Armor. There are no special modifiers for attacks against these classes. They simply have significantly less Armor value than Heavy units.",Symphony of Warの戦闘は、装甲に基づいている。それを高めたり、または無視したりすることが攻略の鍵になる。この時代の装甲は、十分に進歩しており、近接武器や弓による伝統的な攻撃に対しては非常に効果的だが、火器や魔法に対する防御にはほとんど効果がない。\\PAR装甲の重要性は、ターンラの戦争の主力である重装歩兵と重装騎兵において顕著であり、一般的な弓兵に対して耐久力を持つ。\\PAR賢明な司令官は、軽装部隊による奇襲、破壊力に優れた騎兵の突撃攻撃、あるいは火器、魔法、ドラゴンなど、戦況を揺るがす様々な兵力を多彩に用いることができる。\\PAR軽装および中装クラスのユニットは、重装歩兵または重装騎兵ユニットタイプではないすべてのものを指す。軽装歩兵、軽装騎兵、弓兵、および火器ユニットは中装に分類され、サポートと魔法使いは軽装に分類される。これらのクラスに対する攻撃には、特別なボーナス要素はない。単純に重装タイプのユニットよりも装甲値は大幅に低い。
Movement Types,移動タイプ
"Squad movement is derived from the units within it. Majority movement type of the squad almost always determines Squad movement type. In the case of a tie, it follows a hierarchy. Flying > Slow > Normal > Fast. Meaning, a tie between Flying units and other movement types will always create a Flying Squad. (Some units cancel flying movement. These include any Cavalry, Siege Cannons, or non-flying Dragons.) Conversely, a tie between Fast movement unit types and all other types will never create a Fast Movement type Squad.\\PARThis is the baseline Movement and terrain costs, which can and will be modified by a variety of factors, such as Squad Unit Type, Leadership aspects and traits, and Artifact aspects.",部隊の移動は、部隊に属するユニットから計算される。部隊の移動タイプは、ほとんどの場合、部隊の多数派を占めるもので決定される。同数の場合は、以下のヒエラルキーに従う。飛行 > 低速 > 普通 > 高速つまり、飛行ユニットと他の移動タイプが同数の場合、その部隊は飛行部隊とみなされる。（一部のユニットは飛行移動をキャンセルする。それには、騎兵、砲兵、または飛行していないドラゴンなどが該当する） 逆に、高速移動ユニットタイプと他のすべてのタイプが同数の場合、その部隊は高速移動タイプにはならない。\\PAR上記は基本的な移動と地形コストであり、部隊ユニットのタイプ、統率力と特性、装備など、さまざまな要因によって変更されることがある。
Unit Types,ユニットタイプ
"Squad Type is derived from the units within it. Majority Unit type of the squad almost always determines Squad Type. In the case of a tie, it follows a hierarchy. Normal Infantry > Normal Cavalry > Light > Light Cavalry. Meaning, a tie between Normal units and other unit types will always create a Normal Infantry Squad. Conversely, a tie between Light Cavalry unit types and all other types will never create a Light Cavalry Squad Type.\\PARSquad Type's primary function is to determine which Squads get the significant benefit of being considered a 'Light' Type Squad, which grants the ability to conduct Ambushes, and lowers Movement cost of Rough terrain to 2.4 from 3.\\PARAmbushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd.\\PAR'Hit and Run' is a feature of Normal Cavalry and Light Cavalry Squad Types. After taking an action such as attacking or healing, a Cavalry Squad can then move again using half of their original total Movement Points.",部隊タイプは、それに属するユニットから決定される。ほとんどの場合、その部隊の多数派を占めるもので決定される。同数の場合は、以下のヒエラルキーに従う。通常の歩兵 > 通常の騎兵 > 騎兵 > 軽装騎兵つまり、通常系のユニットと他のユニットタイプが同数の場合、常に通常タイプの部隊になる。逆に、軽装騎兵ユニットタイプと他のタイプが同数の場合、部隊タイプが軽装騎兵になることはない。\\PAR部隊タイプの主な役割は、どの部隊が「軽装」タイプとみなされるかを決定することである。これにより、奇襲を行う能力が付与され、起伏の多い地形の移動コストが3から2.4に減少する。\\PAR奇襲攻撃は、非常に強力な攻撃である。奇襲を行う場合、軽装タイプの部隊は、森、山、沼、町、およびいくつかのフィールド目標でターンを開始し、奇襲エリア内または直接隣接するターゲットを攻撃する必要がある。奇襲を実行すると、敵は最初の戦闘で反撃を行うことができず、2回目のみになる。\\PAR「ヒット・エンド・ラン」は、通常の騎兵および軽装騎兵の部隊タイプの機能である。騎兵部隊は、攻撃や回復などのアクションを行った後、元の合計移動ポイントの半分を使用して再び移動することができる。
Learnable Trait List (Unit level),学習可能な特性リスト（ユニットレベル）
"These Traits are always active and apply only to the Unit. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR",これらの特性は常に有効であり、ユニットにのみ適用される。他にも特性があるが、それらはクラスまたは固有のキャラクターに関連付けられている。これらの特性はすべて、スキルの書を通じて学習するか、ランダムに生成されたユニットの生来の特性として備わっている。\\PAR
Learnable Trait List (Leader level),学習可能な特性リスト（リーダーレベル）
"These Traits can be found on any Unit, but are only active if that Unit is a Squad Leader. There are more traits, but they are tied to a class or a unique character. All of these traits can either be learned via Skill Tomes, or are innate Traits on randomly-generated Units.\\PAR",これらの特性はあらゆるユニットに見られるが、そのユニットが部隊リーダーである場合にのみ有効となる。他にも特性があるが、それらはクラスまたは固有のキャラクターに関連付けられている。これらの特性はすべて、スキルの書を通じて学習するか、ランダムに生成されたユニットの生来の特性として備わっている。\\PAR
Loyalty,忠誠
"Determines Capacity cost. Only applies to followers, not leaders. Mercenaries start with the lowest loyalty, for example. Loyalty is gained over time through combat experience and capturing objectives.",キャパシティコストを決定する。部隊の非リーダーにのみ適用され、リーダーには適用されない。傭兵は、忠誠が最も低い状態から始まる。ユニットの忠誠心は、戦闘経験と目標の占領を通じて、時とともに育まれる。
Threat Rating,脅威レート
"An overall rating of the Threat level of your Units and Squads. Affects enemy decision making - they are less likely to target Squads with higher Threat. Also affects Surrender chance. If your Threat Rating is lower than the Squad being targeted, they will not Surrender.",ユニットと部隊の脅威レベルの総合評価。敵の意思決定に影響を与える。具体的には、脅威が高い部隊をターゲットにする可能性が低くなる。また、降伏の確率にも影響する。味方部隊の脅威レートがターゲットの部隊よりも低い場合、相手は降伏しない。
Block (formation),ブロック（陣形）
"All units block allies from melee attacks when they are anywhere in the formation behind the blocking unit. Note, this is reversed for stealth/back attacks. The scope of blocking includes tiles in the same column, OR in the half-step columns directly above and below the blocking unit. Non-melee attacks are exempt from being blocked.",すべてのユニットは、味方にブロックされた状態で後ろにいる場合、近接攻撃からブロックしてもらえる。これは、ステルス/後方攻撃では逆になることに注意すること。ブロックの範囲には、同じ列のマス、またはブロックユニットの上下半分にズレた列のマスが含まれる。また、非近接攻撃はブロックされない。
Cover (formation),カバー（陣形）
"Heavy Infantry, Heavy Cavalry, Light Infantry, Light Cavalry, and Dragons can Cover allies based on formation. Being 'covered' reduces damage taken. The area/range of effect is the same as Blocking, but the scope or magnitude of the damage reduction varies. Heavy units confer more damage reduction than light units. The closer the proximity to the Covering unit, the greater the damage reduction. Cover can 'stack' if covered by more than one unit.",重装歩兵、重装騎兵、軽装歩兵、軽装騎兵、およびドラゴンは、陣形に基づいて味方をカバーできる。「カバー」されると、被ダメージが減少する。効果の適用範囲はブロックと同じだが、ダメージ軽減の範囲または大きさは異なる。重装ユニットは、軽装ユニットよりも多くのダメージを軽減する。カバーするユニットに近いほど、ダメージの軽減度が大きくなる。複数のユニットにカバーされている場合、その効果は加算される。
Capacity,キャパシティ
"Squad Capacity determines how many units and artifacts can comprise a squad. It is derived directly from the LDR stat of the Squad Leader. The default capacity cost of a unit is 10, and is modified by loyalty traits, or 'captain' leader traits. The cost of new units entering a squad increases to a baseline of 12 for the 6th unit, 14 for the 7th unit, 16 for the 8th unit, and 18 for the 9th unit.",部隊キャパシティは、部隊が抱えられるユニットや装備の数を決定する。これは、部隊リーダーのLDRの値から直接計算される。ユニットのデフォルトのキャパシティコストは10だが、忠誠または「○○隊長」のリーダー特性によって上下する。部隊に入る新ユニットのコストは、6人目で12、7人目で14、8人目で16、9人目で18まで増加する。
Status Effects,ステータス効果
Chill: Greatly reduces SKL for the duration of battle.\\PARDazed: Reduces STR for the duration of battle.\\PARStun: Magical stun inflicted by Sirens and Sorceresses. Prevents action.\\PARShock: Physical stun inflicted by Cavalry Charge.,凍結:戦闘中、SKLが大幅に低下する。\\PAR放心:戦闘中、STRが大幅に低下する。\\PARスタン:セイレーンおよびソーサレスによって引き起こされる魔法性の気絶。アクションを妨害する。\\PARショック:騎兵の突撃により引き起こされる物理性の気絶。
(Formation) Row,（陣形）横列
"Side to side, from your Squad's perspective. The attack pattern of Zweihanders, Diana, and Fire Mages.",部隊の視点で言うと、横に並ぶ一列のこと。ツヴァイヘンダー、ダイアナ、ファイアメイジの攻撃パターン。
(Formation) Column,（陣形）縦列
"Front to back, from your Squad's perspective. The attack pattern of Centurions, and Lightning Mages.",部隊の視点で言うと、縦に並ぶ一列のこと。センチュリオンとライトニングメイジの攻撃パターン。
Shuffle,位置交換
Swap the position of 2 player Squads. This will consume the action of the Squad initiating the Shuffle for that turn.\\PARCavalry and Flying Squads cannot participate in a Shuffle.,自軍の2つの部隊の位置を交換する。これを行うと、交換を選択した部隊のアクションが消費される。\\PAR騎兵および飛行部隊は交換できない。
Ambush,奇襲
"Ambushes are tremendously powerful if executed. Your Light Type Squad must start their turn in Woods, Hills, Swamp, Town tiles, and some field Objectives, and attack a target also inside Ambush territory or directly adjacent. If you execute an Ambush, the enemy cannot counter attack on the first volley, only on the 2nd, giving you one free attack.",奇襲は非常に強力な攻撃である。奇襲を行う場合、軽装タイプの部隊は、森、山、沼、町、またはいくつかのフィールド目標でターンを開始し、奇襲エリア内または直接隣接するターゲットを攻撃する必要がある。奇襲を実行すると、敵は最初の反撃を行うことができず、2回目のみ反撃できる。
Surround (Lowering enemy Morale tactic),包囲（敵の士気を下げる戦術）
"You can significantly lower enemy Morale by surrounding an enemy squad, standing directly adjacent. The effect starts when you have 2 squads adjacent, and increases effect when you have 3, and 4 for maximum effect.",敵の部隊を隣に立って囲むことで、その士気を大幅に下げることができる。隣接する部隊が2つになると効果が発生し、3つになると増大し、4つになると最大になる。
Class: Dragon,クラス:ドラゴン
Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,部隊リーダーになること:不可\\PARティア:2\\PARユニットタイプ:ドラゴン\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回のドラゴンブレス、射程1\\PAR特殊:ドラゴンブレスのダメージは、STRとMAGの両方から、同等の割合で計算される。
Class: Blue Dragon,クラス:ブルードラゴン
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,部隊リーダーになること:不可\\PARティア:3\\PARユニットタイプ:ドラゴン\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の雷ドラゴンブレス、射程1\\PAR特殊:ドラゴンブレスのダメージは、STRとMAGの両方から、同等の割合で計算される。
Class: Silver Dragon,クラス:シルバードラゴン
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,部隊リーダーになること:不可\\PARティア:3\\PARユニットタイプ:ドラゴン\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の氷ドラゴンブレス、射程1\\PAR特殊:ドラゴンブレスのダメージは、STRとMAGの両方から、同等の割合で計算される。
Class: Red Dragon,クラス:レッドドラゴン
Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Dragon\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.,部隊リーダーになること:不可\\PARティア:3\\PARユニットタイプ:ドラゴン\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回のドラゴンブレス、射程1\\PAR特殊:ドラゴンブレスのダメージは、STRとMAGの両方から、同等の割合で計算される。
Class: Blue Dragon Rider,クラス:ブルードラゴンライダー
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Lightning Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",部隊リーダーになること:可\\PARティア:4\\PARユニットタイプ:ドラゴン\\PAR移動タイプ:飛行\\PAR必要資源:宝石2、黒曜石2\\PARバトルアクション:2回の雷ドラゴンブレス、射程1\\PAR特殊:ドラゴンブレスのダメージは、STRとMAGの両方から、同等の割合で計算される。
Class: Silver Dragon Rider,クラス:シルバードラゴンライダー
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Ice Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",部隊リーダーになること:可\\PARティア:4\\PARユニットタイプ:ドラゴン\\PAR移動タイプ:飛行\\PAR必要資源:宝石2、黒曜石2\\PARバトルアクション:2回の氷ドラゴンブレス、射程1\\PAR特殊:ドラゴンブレスのダメージは、STRとMAGの両方から、同等の割合で計算される。
Class: Red Dragon Rider,クラス:レッドドラゴンライダー
"Can be a Squad Leader: Yes\\PARTier: 4\\PARUnit Type: Dragon\\PARMovement Type: Flying\\PARResources Required: 2 Gems, 2 Obsidian\\PARBattle Actions: 2 Fire Dragon Breath attacks at 1 range\\PARSpecial: Dragon breath damage is derived from both STR and MAG in equal effect.",部隊リーダーになること:可\\PARティア:4\\PARユニットタイプ:ドラゴン\\PAR移動タイプ:飛行\\PAR必要資源:宝石2、黒曜石2\\PARバトルアクション:2回のドラゴンブレス、射程1\\PAR特殊:ドラゴンブレスのダメージは、STRとMAGの両方から、同等の割合で計算される。
Class: Captain,クラス:キャプテン
Can be a Squad Leader: Yes\\PARTier: 2\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains,部隊リーダーになること:可\\PARティア:2\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊:軍全体のLDR獲得量から少量のLDRを得る
Class: Lord,クラス:ロード
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 1 MAG-based Area effect attack, and 1 Slashing attack at 1 range\\PARSpecial: Gains a small amount of LDR from entire army's LDR gains",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:MAGベースの範囲攻撃1回および斬撃1回、射程1\\PAR特殊:軍全体のLDR獲得量から少量のLDRを得る
Class: Blademaster,クラス:ブレードマスター
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required:\\PARBattle Actions: 2 Slashing double-attacks at 1 range OR 1 archery attack at 2 range\\PARSpecial: Increased evasion in woods, townscape, hills, and swamp",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:軽装歩兵\\PAR移動タイプ:軽量\\PAR必要資源:\\PARバトルアクション:2回のダブル斬撃を射程1で、または1回の弓攻撃を射程2で行う\\PAR特殊:森、町、山、沼で回避率アップ
Class: Exemplar,クラス:イグザンプラー
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Heavy Infantry\\PARMovement Type: Normal\\PARResources Required:\\PARBattle Actions: 2 Striking, wide-sweeping at 1 range that strike an entire row\\PARSpecial: Resists Magic and Dragon Breath attacks by 25% of this unit's Armor value",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:重装歩兵\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:横一列を攻撃する2回のワイド打撃、射程1\\PAR特殊:このユニットは、魔法およびドラゴンのブレス攻撃に対し、装甲の値の25％の耐性を持つ
Class: General,クラス:ジェネラル
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Support\\PARMovement Type: Cavalry\\PARResources Required:\\PARBattle Actions: 1 moderate heal that affects the entire Squad\\PARSpecial:,部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:サポート\\PAR移動タイプ:騎兵\\PAR必要資源:\\PARバトルアクション:部隊全体に中程度の回復1回\\PAR特殊:
Class: Mirage,クラス:ミラージュ
Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Light Infantry\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 3 Stealth Attacks at 1 range\\PARSpecial:,部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:軽装歩兵\\PAR移動タイプ:軽量\\PAR必要資源:\\PARバトルアクション:3回のステルス攻撃、射程1\\PAR特殊:
Class: Arbalest,クラス:アルバレスト
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Archery\\PARMovement Type: Normal\\PARResources Required: 3 Iron\\PARBattle Actions: 2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Attacks ignore 25% of Armor, damage derived from Weapon Power, not STR -25% damage taken from ranged attacks",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:弓兵\\PAR移動タイプ:普通\\PAR必要資源:鉄3\\PARバトルアクション:2回の短距離射撃を射程1で、または1回の長距離射撃を射程2で行う\\PAR特殊:攻撃は装甲の25％を無視し、与ダメージはSTRではなく武器の威力に依存する。遠距離攻撃による被ダメージ-25％
Class: War Cat,クラス:ウォーキャット
"Can be a Squad Leader: No\\PARTier: 2\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls",部隊リーダーになること:不可\\PARティア:2\\PARユニットタイプ:獣人\\PAR移動タイプ:軽装\\PAR必要資源:\\PARバトルアクション:2回のワイド斬撃、射程1\\PAR特殊:攻撃時、ターゲットと同じ列の隣接する1マスに拡散ダメージを与える。壁を越えて攻撃可能
Class: Behemoth,クラス:ベヒーモス
"Can be a Squad Leader: No\\PARTier: 3\\PARUnit Type: Beast\\PARMovement Type: Light\\PARResources Required: \\PARBattle Actions: 2 Wide-sweeping Slashing attacks at 1 range\\PARSpecial: Attacks deal splash damage to 1 tile adjacent to the target in the same row, can attack across walls",部隊リーダーになること:不可\\PARティア:3\\PARユニットタイプ:獣人\\PAR移動タイプ:軽装\\PAR必要資源:\\PARバトルアクション:2回のワイド斬撃、射程1\\PAR特殊:攻撃時、ターゲットと同じ列の隣接する1マスに拡散ダメージを与える。壁を越えて攻撃可能
Class: Necromancer,クラス:ネクロマンサー
"Can be a Squad Leader: Yes\\PARTier: 3\\PARUnit Type: Magician\\PARMovement Type: Slow\\PARResources Required: Use 'Mark of the Risen' Item\\PARBattle Actions: 1 Lifestealing dark magic attack\\PARSpecial: Presence increases accumulation of Unlife Essence, overhealing self via lifesteal can potentially heal allies",部隊リーダーになること:可\\PARティア:3\\PARユニットタイプ:魔法使い\\PAR移動タイプ:低速\\PAR必要資源:不死の印\\PARバトルアクション:1回のライフスティール闇魔法\\PAR特殊:このユニットの存在は、不死のエッセンスを蓄積させる。ライフスティールによる自分へのオーバーヒーリングは、味方ユニットの回復を可能にする
Class: Risen Spearman,クラス:アンデッドスピアマン
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Piercing Polearm attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:アンデッド\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の槍攻撃、射程1\\PAR特殊:このユニットは回復できない。不死のエッセンスを蓄積できる。同じ部隊編成マスに3体までスタック可
Class: Risen Soldier,クラス:アンデッドソルジャー
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:アンデッド\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊:このユニットは回復できない。不死のエッセンスを蓄積できる。同じ部隊編成マスに3体までスタック可
Class: Risen Swordsman,クラス:アンデッドソードマン
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:アンデッド\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊:このユニットは回復できない。不死のエッセンスを蓄積できる。同じ部隊編成マスに3体までスタック可
Class: Risen Archer,クラス:アンデッドアーチャー
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions:  2 Bow attacks at 1 range, or 1 Arced Bow attack at 2 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:アンデッド\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の短距離射撃を射程1で、または1回の長距離射撃を射程2で行う\\PAR特殊:このユニットは回復できない。不死のエッセンスを蓄積できる。同じ部隊編成マスに3体までスタック可
Class: Risen Warrior,クラス:アンデッドウォリアー
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence, can stack up to 3 minions per unit",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:アンデッド\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊:このユニットは回復できない。不死のエッセンスを蓄積できる。同じ部隊編成マスに3体までスタック可
Class: Risen Knight,クラス:アンデッドナイト
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 2 Slashing attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:アンデッド\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:2回の斬撃、射程1\\PAR特殊:このユニットは回復できない。不死のエッセンスを蓄積できる
Class: Risen Archmage,クラス:アンデッドアークメイジ
"Can be a Squad Leader: No\\PARTier: 1\\PARUnit Type: Undead\\PARMovement Type: Normal\\PARResources Required: \\PARBattle Actions: 1 Wide-sweeping Fire Magic attacks at 1 range\\PARSpecial: Cannot heal, slowly accumulates Unlife Essence",部隊リーダーになること:不可\\PARティア:1\\PARユニットタイプ:アンデッド\\PAR移動タイプ:普通\\PAR必要資源:\\PARバトルアクション:1回のワイド火炎魔法、射程1\\PAR特殊:このユニットは回復できない。不死のエッセンスを蓄積できる
Class: Queen of Dragons,クラス:ドラゴンクイーン
